sorting_id,contact,site_name,country,state_region,latitude,longitude,sampling_date,protocol,lfmc_value,species_collected,species_functional_type,landcover,elevation,random_split,spatial_split
54068,Jolly,12 Rd CG,USA,California,39.60722222,-120.4802778,2019-07-17,23,174.0,Arctostaphylos nevadensis,Shrub,Tree cover,2082,train,test
54069,Jolly,12 Rd CG,USA,California,39.60722222,-120.4802778,2019-07-17,23,154.0,Ceanothus integerrimus,Shrub,Tree cover,2082,train,test
54070,Jolly,12 Rd CG,USA,California,39.60722222,-120.4802778,2019-08-22,23,120.0,Arctostaphylos nevadensis,Shrub,Tree cover,2082,train,test
54071,Jolly,12 Rd CG,USA,California,39.60722222,-120.4802778,2019-08-22,23,116.0,Ceanothus integerrimus,Shrub,Tree cover,2082,test,test
54163,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2017-05-02,23,173.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54164,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2017-05-23,23,193.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,test,test
54165,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2017-06-07,23,159.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54166,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2017-07-05,23,110.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54167,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2017-07-18,23,88.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,test,test
54168,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2017-08-02,23,85.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54169,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2017-08-15,23,88.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54170,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2018-05-16,23,170.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54171,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2018-06-21,23,138.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54172,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2018-07-02,23,131.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54173,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2018-07-18,23,112.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54174,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2018-07-30,23,60.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54175,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2018-08-13,23,86.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,validation,test
54176,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2018-08-27,23,108.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,validation,test
54177,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2018-09-10,23,65.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54178,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2019-06-03,23,107.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54179,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2019-07-02,23,101.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54180,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2019-07-15,23,72.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54181,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2019-07-29,23,58.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54182,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2019-08-14,23,82.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,test,test
54183,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2019-08-26,23,62.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54184,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2020-05-05,23,189.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,validation,test
54185,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2020-06-01,23,234.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54186,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2020-07-13,23,147.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54187,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2020-07-27,23,119.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,validation,test
54188,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2020-08-10,23,105.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54189,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2020-08-24,23,74.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54190,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2020-09-09,23,77.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,validation,test
54191,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2020-09-21,23,97.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54192,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-05-04,23,128.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54193,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-05-17,23,122.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54194,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-06-01,23,150.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,validation,test
54195,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-06-14,23,138.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54196,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-06-28,23,97.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,validation,test
54197,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-07-12,23,81.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,test,test
54198,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-07-26,23,70.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54199,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-08-09,23,88.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,test,test
54200,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-08-24,23,105.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54201,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-09-07,23,74.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54202,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2021-09-22,23,68.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54203,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2022-05-02,23,187.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54204,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2022-05-16,23,227.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54205,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2022-06-15,23,245.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54206,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2022-07-12,23,83.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54207,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2022-07-25,23,97.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,test,test
54208,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2022-08-11,23,80.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,train,test
54209,Jolly,18 Mile,USA,Idaho,44.63305556,-113.2663889,2022-09-23,23,61.0,Artemisia tridentata ssp. vaseyana,Tree,Bare / sparse vegetation,1894,test,test
54651,Jolly,60 Bar,USA,Wyoming,44.50861111,-105.4394444,2017-08-09,23,88.0,Artemisia tridentata ssp. wyomingensis,Tree,Grassland,1242,train,train
54652,Jolly,60 Bar,USA,Wyoming,44.50861111,-105.4394444,2017-08-09,23,88.0,Juniperus scopulorum,Tree,Grassland,1242,train,train
54653,Jolly,60 Bar,USA,Wyoming,44.50861111,-105.4394444,2018-07-19,23,110.0,Artemisia tridentata ssp. wyomingensis,Tree,Grassland,1242,train,train
54654,Jolly,60 Bar,USA,Wyoming,44.50861111,-105.4394444,2018-07-19,23,107.0,Juniperus scopulorum,Tree,Grassland,1242,train,train
54655,Jolly,60 Bar,USA,Wyoming,44.50861111,-105.4394444,2018-08-03,23,109.0,Artemisia tridentata ssp. wyomingensis,Tree,Grassland,1242,train,train
54656,Jolly,60 Bar,USA,Wyoming,44.50861111,-105.4394444,2018-08-03,23,115.0,Juniperus scopulorum,Tree,Grassland,1242,validation,train
54657,Jolly,60 Bar,USA,Wyoming,44.50861111,-105.4394444,2018-08-29,23,120.0,Artemisia tridentata ssp. wyomingensis,Tree,Grassland,1242,train,train
54658,Jolly,60 Bar,USA,Wyoming,44.50861111,-105.4394444,2018-08-29,23,107.0,Juniperus scopulorum,Tree,Grassland,1242,train,train
54659,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-07-19,23,152.0,Pinus banksiana,Tree,Tree cover,205,train,test
54660,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-07-19,23,118.0,Pinus resinosa,Tree,Tree cover,205,train,test
54661,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-07-31,23,135.0,Pinus banksiana,Tree,Tree cover,205,train,test
54662,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-07-31,23,119.0,Pinus resinosa,Tree,Tree cover,205,test,test
54663,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-08-14,23,126.0,Pinus banksiana,Tree,Tree cover,205,train,test
54664,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-08-14,23,134.0,Pinus resinosa,Tree,Tree cover,205,test,test
54665,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-08-30,23,135.0,Pinus banksiana,Tree,Tree cover,205,train,test
54666,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-08-30,23,129.0,Pinus resinosa,Tree,Tree cover,205,train,test
54667,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-09-14,23,122.0,Pinus banksiana,Tree,Tree cover,205,validation,test
54668,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2018-09-14,23,133.0,Pinus resinosa,Tree,Tree cover,205,train,test
54669,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-05-06,23,108.0,Pinus banksiana,Tree,Tree cover,205,train,test
54670,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-05-06,23,114.0,Pinus resinosa,Tree,Tree cover,205,train,test
54671,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-05-28,23,102.0,Pinus banksiana,Tree,Tree cover,205,validation,test
54672,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-05-28,23,91.0,Pinus resinosa,Tree,Tree cover,205,train,test
54673,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-06-15,23,96.0,Pinus banksiana,Tree,Tree cover,205,validation,test
54674,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-06-15,23,94.0,Pinus resinosa,Tree,Tree cover,205,train,test
54675,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-07-01,23,114.0,Pinus banksiana,Tree,Tree cover,205,train,test
54676,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-07-01,23,91.0,Pinus resinosa,Tree,Tree cover,205,validation,test
54677,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-07-24,23,112.0,Pinus banksiana,Tree,Tree cover,205,train,test
54678,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-07-24,23,78.0,Pinus resinosa,Tree,Tree cover,205,validation,test
54679,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-07-26,23,143.0,Pinus banksiana,Tree,Tree cover,205,train,test
54680,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-07-26,23,124.0,Pinus resinosa,Tree,Tree cover,205,train,test
54681,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-09-17,23,139.0,Pinus banksiana,Tree,Tree cover,205,train,test
54682,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2019-09-17,23,128.0,Pinus resinosa,Tree,Tree cover,205,train,test
54683,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-05-07,23,106.0,Pinus banksiana,Tree,Tree cover,205,train,test
54684,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-05-07,23,114.0,Pinus resinosa,Tree,Tree cover,205,train,test
54685,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-05-17,23,106.0,Pinus banksiana,Tree,Tree cover,205,train,test
54686,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-05-17,23,112.0,Pinus resinosa,Tree,Tree cover,205,train,test
54687,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-05-20,23,107.0,Pinus banksiana,Tree,Tree cover,205,train,test
54688,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-05-20,23,107.0,Pinus resinosa,Tree,Tree cover,205,train,test
54689,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-05-27,23,111.0,Pinus banksiana,Tree,Tree cover,205,train,test
54690,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-05-27,23,107.0,Pinus resinosa,Tree,Tree cover,205,train,test
54691,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-06-02,23,104.0,Pinus banksiana,Tree,Tree cover,205,train,test
54692,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-06-02,23,96.0,Pinus resinosa,Tree,Tree cover,205,train,test
