time_min,cumulative_depth_mm,incremental_depth_mm
0,0.0,0.0
30,3.6448999999999985,3.6448999999999985
60,7.289799999999997,3.6448999999999985
90,12.028169999999996,4.738369999999999
120,17.495519999999996,5.46735
150,23.691849999999995,6.19633
180,32.8041,9.112250000000003
210,41.91635,9.112250000000003
240,54.67349999999998,12.757149999999982
270,68.34187499999997,13.66837499999999
300,86.74861999999999,18.406745000000015
330,112.26291999999995,25.514299999999963
360,137.77721999999997,25.51430000000002
390,151.44559499999997,13.668374999999997
420,165.11397,13.668375000000026
450,175.50193499999997,10.38796499999998
480,183.70295999999996,8.201024999999987
510,191.35724999999996,7.654290000000003
540,196.82459999999998,5.46735000000001
570,202.29194999999999,5.46735000000001
600,206.30133999999995,4.009389999999968
630,209.94623999999996,3.644900000000007
660,213.22664999999995,3.280409999999989
690,215.96032499999998,2.7336750000000336
720,218.69399999999996,2.7336749999999768
