year,month,monthly_total_mm,n_days_reported,days_in_month,complete,season,date
1948,9,341.9,29,30,True,wet,1948-09-01
1948,10,63.5,31,31,True,dry,1948-10-01
1948,11,14.299999999999999,30,30,True,dry,1948-11-01
1948,12,21.6,31,31,True,dry,1948-12-01
1949,1,7.999999999999999,31,31,True,dry,1949-01-01
1949,2,31.8,28,28,True,dry,1949-02-01
1949,3,54.699999999999996,31,31,True,dry,1949-03-01
1949,4,63.5,30,30,True,dry,1949-04-01
1949,5,16.7,31,31,True,dry,1949-05-01
1949,6,264.2,30,30,True,wet,1949-06-01
1949,7,159.6,31,31,True,wet,1949-07-01
1949,8,367.09999999999997,31,31,True,wet,1949-08-01
1949,9,183.1,30,30,True,wet,1949-09-01
1949,10,35.400000000000006,31,31,True,dry,1949-10-01
1949,11,17.7,30,30,True,dry,1949-11-01
1949,12,181.20000000000002,31,31,True,dry,1949-12-01
1950,1,0.0,31,31,True,dry,1950-01-01
1950,2,6.1,28,28,True,dry,1950-02-01
1950,3,112.6,31,31,True,dry,1950-03-01
1950,4,118.3,30,30,True,dry,1950-04-01
1950,5,21.1,31,31,True,dry,1950-05-01
1950,6,99.89999999999999,27,30,True,wet,1950-06-01
1950,7,93.7,31,31,True,wet,1950-07-01
1950,8,151.5,31,31,True,wet,1950-08-01
1950,9,195.9,30,30,True,wet,1950-09-01
1950,10,214.6,31,31,True,dry,1950-10-01
1950,11,2.0,30,30,True,dry,1950-11-01
1950,12,104.5,31,31,True,dry,1950-12-01
1951,1,4.1,31,31,True,dry,1951-01-01
1951,2,70.5,28,28,True,dry,1951-02-01
1951,3,19.8,31,31,True,dry,1951-03-01
1951,4,107.0,30,30,True,dry,1951-04-01
1951,5,67.4,31,31,True,dry,1951-05-01
1951,6,124.5,30,30,True,wet,1951-06-01
1951,7,203.79999999999998,31,31,True,wet,1951-07-01
1951,8,59.699999999999996,31,31,True,wet,1951-08-01
1951,9,278.59999999999997,30,30,True,wet,1951-09-01
1959,3,226.5,31,31,True,dry,1959-03-01
1959,4,97.0,30,30,True,dry,1959-04-01
1959,5,87.8,31,31,True,dry,1959-05-01
1959,6,254.5,30,30,True,wet,1959-06-01
1959,7,215.7,31,31,True,wet,1959-07-01
1959,8,339.0,31,31,True,wet,1959-08-01
1959,9,273.9,30,30,True,wet,1959-09-01
1959,10,219.2,31,31,True,dry,1959-10-01
1959,11,10.7,27,30,True,dry,1959-11-01
1959,12,48.3,31,31,True,dry,1959-12-01
1960,1,31.8,31,31,True,dry,1960-01-01
1960,2,118.9,27,29,True,dry,1960-02-01
1960,3,316.5,31,31,True,dry,1960-03-01
1960,4,50.0,30,30,True,dry,1960-04-01
1960,5,85.1,31,31,True,dry,1960-05-01
1960,6,278.0,30,30,True,wet,1960-06-01
1960,7,194.8,31,31,True,wet,1960-07-01
1960,8,228.7,31,31,True,wet,1960-08-01
1960,9,523.6,30,30,True,wet,1960-09-01
1960,10,148.5,31,31,True,dry,1960-10-01
1960,11,0.0,30,30,True,dry,1960-11-01
1960,12,40.900000000000006,31,31,True,dry,1960-12-01
1961,1,54.1,31,31,True,dry,1961-01-01
1961,2,90.3,28,28,True,dry,1961-02-01
1961,3,20.8,31,31,True,dry,1961-03-01
1961,4,43.0,30,30,True,dry,1961-04-01
1961,5,41.2,31,31,True,dry,1961-05-01
1961,6,105.2,30,30,True,wet,1961-06-01
