time_s,level_rise_m,level_rise_cm
0.00,0.00000,0.000
0.15,0.00000,0.000
0.30,0.00000,0.000
0.45,0.00000,0.000
0.60,0.00000,0.000
0.75,0.00000,0.000
0.90,0.00000,0.000
1.05,0.00000,0.000
1.20,0.00000,0.000
1.35,0.00000,0.000
1.50,0.00000,0.000
1.65,0.00000,0.000
1.80,0.00000,0.000
1.95,0.00000,0.000
2.10,0.00000,0.000
2.25,0.00000,0.000
2.40,0.00000,0.000
2.55,0.00000,0.000
2.70,0.00001,0.001
2.85,0.00001,0.001
3.00,0.00001,0.001
3.15,0.00001,0.001
3.30,0.00001,0.001
3.45,0.00001,0.001
3.60,0.00001,0.001
3.75,0.00001,0.001
3.90,0.00001,0.001
4.05,0.00001,0.001
4.20,0.00001,0.001
4.35,0.00001,0.001
4.50,0.00001,0.001
4.65,0.00002,0.002
4.80,0.00002,0.002
4.95,0.00002,0.002
5.10,0.00002,0.002
5.25,0.00002,0.002
5.40,0.00002,0.002
5.55,0.00002,0.002
5.70,0.00002,0.002
5.85,0.00002,0.002
6.00,0.00003,0.003
6.15,0.00003,0.003
6.30,0.00003,0.003
6.45,0.00003,0.003
6.60,0.00003,0.003
6.75,0.00003,0.003
6.90,0.00003,0.003
7.05,0.00004,0.004
7.20,0.00004,0.004
7.35,0.00004,0.004
7.50,0.00004,0.004
7.65,0.00004,0.004
7.80,0.00004,0.004
7.95,0.00004,0.004
8.10,0.00005,0.005
8.25,0.00005,0.005
8.40,0.00005,0.005
8.55,0.00005,0.005
8.70,0.00005,0.005
8.85,0.00006,0.006
9.00,0.00006,0.006
9.15,0.00006,0.006
9.30,0.00006,0.006
9.45,0.00006,0.006
9.60,0.00007,0.007
9.75,0.00007,0.007
9.90,0.00007,0.007
10.05,0.00007,0.007
10.20,0.00007,0.007
10.35,0.00008,0.008
10.50,0.00008,0.008
10.65,0.00008,0.008
10.80,0.00008,0.008
10.95,0.00008,0.008
11.10,0.00009,0.009
11.25,0.00009,0.009
11.40,0.00009,0.009
11.55,0.00009,0.009
11.70,0.00010,0.010
11.85,0.00010,0.010
12.00,0.00010,0.010
12.15,0.00010,0.010
12.30,0.00011,0.011
12.45,0.00011,0.011
12.60,0.00011,0.011
12.75,0.00011,0.011
12.90,0.00012,0.012
13.05,0.00012,0.012
13.20,0.00012,0.012
13.35,0.00013,0.013
13.50,0.00013,0.013
13.64,0.00013,0.013
13.77,0.00013,0.013
13.90,0.00014,0.014
14.03,0.00014,0.014
14.17,0.00014,0.014
14.30,0.00014,0.014
14.43,0.00015,0.015
14.54,0.00015,0.015
14.65,0.00015,0.015
14.76,0.00015,0.015
14.86,0.00015,0.015
14.96,0.00016,0.016
15.05,0.00016,0.016
15.15,0.00016,0.016
15.23,0.00016,0.016
15.32,0.00016,0.016
15.40,0.00016,0.016
15.48,0.00017,0.017
15.56,0.00017,0.017
15.64,0.00017,0.017
15.71,0.00017,0.017
15.79,0.00017,0.017
15.86,0.00017,0.017
15.93,0.00018,0.018
16.00,0.00018,0.018
16.06,0.00018,0.018
16.13,0.00018,0.018
16.20,0.00018,0.018
16.27,0.00018,0.018
16.34,0.00019,0.019
16.40,0.00019,0.019
16.47,0.00019,0.019
16.54,0.00019,0.019
16.61,0.00019,0.019
16.67,0.00019,0.019
16.74,0.00019,0.019
16.81,0.00020,0.020
16.88,0.00020,0.020
16.95,0.00020,0.020
17.01,0.00020,0.020
17.08,0.00020,0.020
17.15,0.00020,0.020
17.22,0.00021,0.021
17.28,0.00021,0.021
17.35,0.00021,0.021
17.42,0.00021,0.021
17.49,0.00021,0.021
17.55,0.00021,0.021
17.62,0.00022,0.022
17.69,0.00022,0.022
17.76,0.00022,0.022
17.83,0.00022,0.022
17.89,0.00022,0.022
17.96,0.00022,0.022
18.03,0.00023,0.023
18.10,0.00023,0.023
18.16,0.00023,0.023
18.23,0.00023,0.023
18.30,0.00023,0.023
18.37,0.00023,0.023
18.44,0.00024,0.024
18.50,0.00024,0.024
18.57,0.00024,0.024
18.64,0.00024,0.024
18.71,0.00024,0.024
18.77,0.00024,0.024
18.84,0.00025,0.025
18.91,0.00025,0.025
18.98,0.00025,0.025
19.04,0.00025,0.025
19.11,0.00025,0.025
19.18,0.00026,0.026
19.25,0.00026,0.026
19.32,0.00026,0.026
19.38,0.00026,0.026
19.45,0.00026,0.026
19.52,0.00026,0.026
19.59,0.00027,0.027
19.65,0.00027,0.027
19.72,0.00027,0.027
19.79,0.00027,0.027
19.86,0.00027,0.027
19.93,0.00028,0.028
19.99,0.00028,0.028
20.06,0.00028,0.028
20.13,0.00028,0.028
20.20,0.00028,0.028
20.26,0.00028,0.028
20.33,0.00029,0.029
20.40,0.00029,0.029
20.47,0.00029,0.029
20.53,0.00029,0.029
20.60,0.00029,0.029
20.67,0.00030,0.030
20.74,0.00030,0.030
20.81,0.00030,0.030
20.87,0.00030,0.030
20.94,0.00030,0.030
21.01,0.00031,0.031
21.08,0.00031,0.031
21.14,0.00031,0.031
21.21,0.00031,0.031
21.28,0.00031,0.031
21.35,0.00032,0.032
21.42,0.00032,0.032
21.48,0.00032,0.032
21.55,0.00032,0.032
21.62,0.00032,0.032
21.69,0.00033,0.033
21.75,0.00033,0.033
21.82,0.00033,0.033
21.89,0.00033,0.033
21.96,0.00033,0.033
22.02,0.00034,0.034
22.09,0.00034,0.034
22.16,0.00034,0.034
22.23,0.00034,0.034
22.30,0.00034,0.034
22.36,0.00035,0.035
22.43,0.00035,0.035
22.50,0.00035,0.035
22.57,0.00035,0.035
22.63,0.00036,0.036
22.70,0.00036,0.036
22.77,0.00036,0.036
22.84,0.00036,0.036
22.91,0.00036,0.036
22.97,0.00037,0.037
23.04,0.00037,0.037
23.11,0.00037,0.037
23.18,0.00037,0.037
23.24,0.00037,0.037
23.31,0.00038,0.038
23.38,0.00038,0.038
23.45,0.00038,0.038
23.51,0.00038,0.038
23.58,0.00039,0.039
23.65,0.00039,0.039
23.72,0.00039,0.039
23.79,0.00039,0.039
