mukey_int,mukey,muname,hsg,fc_mm_hr
1,1478686,Adamsville-Sparr fine sands,A,331.2
2,1478687,"Arents, 0 to 5 percent slopes",A,331.2
3,1478689,"Astatula fine sand, 5 to 8 percent slopes",A,756.0
4,1478690,"Astatula-Apopka fine sands, 0 to 5 percent slopes",A,331.2
5,1478691,"Astatula-Apopka fine sands, 5 to 8 percent",A,756.0
6,1478693,Basinger and Delray fine sands,A,331.2
7,1478694,"Basinger, Samsula, and Hontoon soils, depressional",A,331.2
8,1478695,"Basinger and Smyrna fine sands, depressional",A,331.2
9,1478697,EauGallie and Immokalee fine sands,A,331.2
10,1478699,"Felda and Manatee mucky fine sands, depressional",A,82.8
11,1478701,"Brighton, Samsula, and Sanibel mucks",A,331.2
12,1478702,"Malabar fine sand, 0 to 2 percent slopes",A,330.26
13,1478703,"Manatee, Floridana, and Holopaw soils, frequently flooded",B,32.4
14,1478704,Myakka and EauGallie fine sands,A,331.2
15,1478705,"Nittaw mucky fine sand, depressional",C,331.2
16,1478707,"Nittaw, Okeelanta, and Basinger soils, frequently flooded",C,331.2
17,1478708,"Paola-St. Lucie sands, 0 to 5 percent slopes",A,756.0
18,1478709,"Pineda-Pineda, wet, fine sand, 0 to 2 percent slopes",A,330.26
19,1478710,"Udorthents, excavated",A,331.2
20,1478711,"Pomello fine sand, 0 to 5 percent slopes",A,806.4
21,1478712,"Pompano fine sand, occasionally flooded",A,331.2
22,1478713,St. Johns and EauGallie fine sands,A,82.8
23,1478714,"Seffner fine sand, 0 to 2 percent slopes",A,330.26
24,1478715,"Tavares-Millhopper fine sands, 0 to 5 percent slopes",A,330.26
25,1478718,"Urban land, 0 to 2 percent slopes",B,10.0
26,1478719,"Wabasso fine sand, 0 to 2 percent slopes",A,330.26
27,1478720,Water,B,0.0
