mukey,muname,wtdepannmin,wtdepaprjunmin,brockdepmin,aws025wta,aws050wta,aws0100wta,aws0150wta
1478686,Adamsville-Sparr fine sands,60,84,,1.8,3.34,6.42,11.21
1478687,"Arents, 0 to 5 percent slopes",60,60,,1.25,2.5,5,7.5
1478689,"Astatula fine sand, 5 to 8 percent slopes",,,,1.23,2.23,4.23,6.23
1478690,"Astatula-Apopka fine sands, 0 to 5 percent slopes",,,,1.2,2.14,4.25,6.15
1478691,"Astatula-Apopka fine sands, 5 to 8 percent",,,,1.24,2.27,4.32,6.42
1478693,Basinger and Delray fine sands,0,0,,2.14,4.13,8.75,13.96
1478694,"Basinger, Samsula, and Hontoon soils, depressional",0,0,,4.62,8.44,16.58,22.71
1478695,"Basinger and Smyrna fine sands, depressional",0,0,,2.5,4.96,9.47,13.21
1478697,EauGallie and Immokalee fine sands,31,31,,1.32,2.89,7.36,13.85
1478699,"Felda and Manatee mucky fine sands, depressional",0,0,,3.3,5.31,9.73,13
1478701,"Brighton, Samsula, and Sanibel mucks",0,0,,6.93,12.79,22.26,30.67
1478702,"Malabar fine sand, 0 to 2 percent slopes",15,30,,2,4.01,8.09,14.15
1478703,"Manatee, Floridana, and Holopaw soils, frequently flooded",0,0,,4.06,7,12.65,18.44
1478704,Myakka and EauGallie fine sands,31,31,,1.53,2.85,8.19,13.31
1478705,"Nittaw mucky fine sand, depressional",0,0,,3.32,7.61,16.34,22.79
1478707,"Nittaw, Okeelanta, and Basinger soils, frequently flooded",0,0,,4.84,9.81,20.39,26.97
1478708,"Paola-St. Lucie sands, 0 to 5 percent slopes",,,,0.94,1.84,3.62,5.41
1478709,"Pineda-Pineda, wet, fine sand, 0 to 2 percent slopes",0,30,,2.02,4.01,8.39,13.89
1478710,"Udorthents, excavated",145,145,,1.72,2.72,4.72,6.72
1478711,"Pomello fine sand, 0 to 5 percent slopes",84,130,,1.92,3.64,7.38,11.5
1478712,"Pompano fine sand, occasionally flooded",0,15,,1.22,2.54,5.19,7.84
1478713,St. Johns and EauGallie fine sands,31,31,,2.46,4.56,13.13,20.58
1478714,"Seffner fine sand, 0 to 2 percent slopes",76,76,,2.02,4.08,8.05,12.01
1478715,"Tavares-Millhopper fine sands, 0 to 5 percent slopes",130,130,,2.1,4.1,8.15,12.17
1478718,"Urban land, 0 to 2 percent slopes",,,,1.8,3.49,7.18,11.08
1478719,"Wabasso fine sand, 0 to 2 percent slopes",31,31,,2.6,5.26,11.53,17.21
1478720,Water,,,,,,,
