mukey,muname,cokey,compname,comppct_r,hydgrp,ksat_r,sandtotal_r,claytotal_r
1478686,Adamsville-Sparr fine sands,26574319,Adamsville,54,A,92.0,97.0,2.0
1478686,Adamsville-Sparr fine sands,26574320,Sparr,36,A/D,92.0,96.3,3.0
1478686,Adamsville-Sparr fine sands,26574321,Immokalee,10,A/D,92.0,97.0,2.0
1478687,"Arents, 0 to 5 percent slopes",26574322,Arents,100,A/D,92.0,96.3,3.0
1478689,"Astatula fine sand, 5 to 8 percent slopes",26574327,Astatula,97,A,210.0,97.0,2.0
1478689,"Astatula fine sand, 5 to 8 percent slopes",26574326,Paola,3,A,210.0,98.0,1.0
1478690,"Astatula-Apopka fine sands, 0 to 5 percent slopes",26574328,Astatula,65,A,210.0,97.0,2.0
1478690,"Astatula-Apopka fine sands, 0 to 5 percent slopes",26574329,Apopka,22,A,92.0,97.0,2.0
1478690,"Astatula-Apopka fine sands, 0 to 5 percent slopes",26574330,Tavares,7,A,92.0,97.0,2.0
1478690,"Astatula-Apopka fine sands, 0 to 5 percent slopes",26574331,Pomello,6,A,210.0,98.0,1.0
1478691,"Astatula-Apopka fine sands, 5 to 8 percent",26574334,Astatula,63,A,210.0,97.0,2.0
1478691,"Astatula-Apopka fine sands, 5 to 8 percent",26574335,Apopka,27,A,92.0,97.0,2.0
1478691,"Astatula-Apopka fine sands, 5 to 8 percent",26574332,Tavares,5,A,92.0,97.0,2.0
1478691,"Astatula-Apopka fine sands, 5 to 8 percent",26574333,Millhopper,5,A,92.0,95.0,4.0
1478693,Basinger and Delray fine sands,26574341,Basinger,60,A/D,92.0,97.0,2.0
1478693,Basinger and Delray fine sands,26574342,Delray,32,A/D,92.0,96.3,3.0
1478693,Basinger and Delray fine sands,26574339,Malabar,4,A/D,92.0,97.0,2.0
1478693,Basinger and Delray fine sands,26574340,Wabasso,4,C/D,9.0,97.0,2.0
1478694,"Basinger, Samsula, and Hontoon soils, depressional",26574343,Basinger,58,A/D,92.0,97.0,2.0
1478694,"Basinger, Samsula, and Hontoon soils, depressional",26574344,Samsula,15,A/D,92.0,,0.0
1478694,"Basinger, Samsula, and Hontoon soils, depressional",26574345,Hontoon,15,A/D,,,
1478694,"Basinger, Samsula, and Hontoon soils, depressional",26574346,Felda,3,A/D,23.0,96.0,3.0
1478694,"Basinger, Samsula, and Hontoon soils, depressional",26574350,EauGallie,3,A/D,23.0,97.0,2.0
1478694,"Basinger, Samsula, and Hontoon soils, depressional",26574347,Smyrna,2,A/D,23.0,97.0,2.0
1478694,"Basinger, Samsula, and Hontoon soils, depressional",26574348,Myakka,2,A/D,92.0,97.0,2.0
1478694,"Basinger, Samsula, and Hontoon soils, depressional",26574349,St. Johns,2,B/D,92.0,97.0,2.0
1478695,"Basinger and Smyrna fine sands, depressional",26574353,Basinger,63,A/D,92.0,97.0,2.0
1478695,"Basinger and Smyrna fine sands, depressional",26574354,Smyrna,28,A/D,23.0,97.0,2.0
1478695,"Basinger and Smyrna fine sands, depressional",26574351,EauGallie,5,A/D,23.0,97.0,2.0
1478695,"Basinger and Smyrna fine sands, depressional",26574352,Malabar,4,A/D,92.0,97.0,2.0
1478697,EauGallie and Immokalee fine sands,26574357,EauGallie,56,A/D,23.0,97.0,2.0
1478697,EauGallie and Immokalee fine sands,26574358,Immokalee,35,A/D,92.0,97.0,2.0
1478697,EauGallie and Immokalee fine sands,26574359,Malabar,9,A/D,92.0,97.0,2.0
1478699,"Felda and Manatee mucky fine sands, depressional",26574362,Felda,56,A/D,23.0,96.0,3.0
1478699,"Felda and Manatee mucky fine sands, depressional",26574363,Manatee,38,B/D,9.0,96.0,3.0
1478699,"Felda and Manatee mucky fine sands, depressional",26574364,Wabasso,3,C/D,9.0,97.0,2.0
1478699,"Felda and Manatee mucky fine sands, depressional",26574365,Delray,3,A/D,92.0,96.3,3.0
1478701,"Brighton, Samsula, and Sanibel mucks",26574372,Brighton,47,A/D,92.0,,0.0
1478701,"Brighton, Samsula, and Sanibel mucks",26574373,Samsula,35,A/D,92.0,,0.0
1478701,"Brighton, Samsula, and Sanibel mucks",26574374,Sanibel,15,A/D,92.0,,0.0
1478701,"Brighton, Samsula, and Sanibel mucks",26574375,Delray,2,A/D,92.0,96.3,3.0
1478701,"Brighton, Samsula, and Sanibel mucks",26574376,Basinger,1,A/D,92.0,97.0,2.0
1478702,"Malabar fine sand, 0 to 2 percent slopes",26574379,Malabar,85,A/D,91.74,98.0,1.0
1478702,"Malabar fine sand, 0 to 2 percent slopes",26574377,Valkaria,5,A/D,91.74,98.0,1.0
1478702,"Malabar fine sand, 0 to 2 percent slopes",26574380,Oldsmar,4,A/D,91.74,97.0,2.0
1478702,"Malabar fine sand, 0 to 2 percent slopes",26574381,Pineda,4,A/D,92.0,98.8,0.7
1478702,"Malabar fine sand, 0 to 2 percent slopes",26574378,Basinger,2,A/D,92.0,96.3,3.0
1478703,"Manatee, Floridana, and Holopaw soils, frequently flooded",26574382,Manatee,61,B/D,9.0,96.3,3.0
1478703,"Manatee, Floridana, and Holopaw soils, frequently flooded",26574383,Floridana,21,C/D,92.0,95.0,4.0
1478703,"Manatee, Floridana, and Holopaw soils, frequently flooded",26574384,Holopaw,15,A/D,92.0,96.3,3.0
1478703,"Manatee, Floridana, and Holopaw soils, frequently flooded",26574385,Basinger,3,A/D,92.0,97.0,2.0
1478704,Myakka and EauGallie fine sands,26574388,Myakka,58,A/D,92.0,97.0,2.0
