mukey,muname,cokey,compname,comppct_r,hydgrp,ksat_r,sandtotal_r,claytotal_r
323133,Immokalee fine sand,26973424,Immokalee,82,B/D,92.0,96.3,3.0
323133,Immokalee fine sand,26973423,Immokalee,10,B/D,92.0,96.3,3.0
323133,Immokalee fine sand,26973425,Wabasso,4,C/D,9.0,96.3,3.0
323133,Immokalee fine sand,26973426,Pineda,4,C/D,92.0,95.9,3.5
323139,"Ona fine sand, 0 to 2 percent slopes",26973449,Ona,85,B/D,9.0,96.3,3.0
323139,"Ona fine sand, 0 to 2 percent slopes",26973448,Basinger,5,A/D,92.0,98.0,1.0
323139,"Ona fine sand, 0 to 2 percent slopes",26973444,Myakka,3,A/D,23.0,96.3,3.0
323139,"Ona fine sand, 0 to 2 percent slopes",26973445,Immokalee,3,B/D,92.0,98.0,1.0
323139,"Ona fine sand, 0 to 2 percent slopes",26973446,Pomello,2,A,141.14,97.0,2.0
323139,"Ona fine sand, 0 to 2 percent slopes",26973447,EauGallie,2,A/D,92.0,98.0,1.0
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",26973460,Basinger,90,A/D,92.0,96.3,3.0
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",26973462,Smyrna,5,A/D,28.23,97.9,1.5
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",26973461,Samsula,3,A/D,92.0,,
323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",26973463,Floridana,2,C/D,92.0,97.0,2.0
323148,"Pomello fine sand, 0 to 5 percent slopes",26973482,Pomello,95,A,247.07,96.2,1.0
323148,"Pomello fine sand, 0 to 5 percent slopes",26973483,Smyrna,3,A/D,23.0,91.8,1.1
323148,"Pomello fine sand, 0 to 5 percent slopes",26973484,Tavares,1,A,197.67,97.0,2.0
323148,"Pomello fine sand, 0 to 5 percent slopes",26973485,Bulow,1,A,92.0,96.7,1.0
323151,St. Johns fine sand,26973501,St. Johns,60,B/D,92.0,96.8,2.5
323151,St. Johns fine sand,26973500,St. Johns,30,B/D,92.0,96.8,2.5
323151,St. Johns fine sand,26973498,Immokalee,5,B/D,92.0,96.3,3.0
323151,St. Johns fine sand,26973499,Wabasso,5,C/D,9.0,96.3,3.0
323156,"Samsula-Hontoon-Basinger association, depressional",26973525,Samsula,47,A/D,92.0,,
323156,"Samsula-Hontoon-Basinger association, depressional",26973526,Hontoon,31,A/D,,,
323156,"Samsula-Hontoon-Basinger association, depressional",26973527,Basinger,14,A/D,92.0,97.0,2.0
323156,"Samsula-Hontoon-Basinger association, depressional",26973523,Ona,4,B/D,9.0,95.0,4.0
323156,"Samsula-Hontoon-Basinger association, depressional",26973524,Holopaw,4,A/D,92.0,95.9,3.5
323157,Sanibel muck,26973528,Sanibel,65,A/D,92.0,,
323157,Sanibel muck,26973529,Sanibel,25,A/D,92.0,,
323157,Sanibel muck,26973530,Hontoon,5,A/D,,,
323157,Sanibel muck,26973531,Samsula,5,A/D,92.0,,
323159,"Smyrna-Smyrna, wet, fine sand, 0 to 2 percent slopes",26973539,Smyrna,76,A/D,23.285,88.0,5.2
323159,"Smyrna-Smyrna, wet, fine sand, 0 to 2 percent slopes",26973540,Smyrna,20,A/D,23.285,88.0,5.2
323159,"Smyrna-Smyrna, wet, fine sand, 0 to 2 percent slopes",26973541,Basinger,2,A/D,247.0,97.0,2.0
323159,"Smyrna-Smyrna, wet, fine sand, 0 to 2 percent slopes",26973542,Pomona,1,A/D,92.0,96.6,2.8
323159,"Smyrna-Smyrna, wet, fine sand, 0 to 2 percent slopes",26973543,EauGallie,1,A/D,23.0,96.8,2.5
323176,Water,26973623,Water,100,,,,
