time_s,level_rise_m,level_rise_cm
0.00,0.00000,0.000
0.15,0.00000,0.000
0.30,0.00000,0.000
0.45,0.00000,0.000
0.60,0.00000,0.000
0.75,0.00000,0.000
0.90,0.00000,0.000
1.05,0.00000,0.000
1.20,0.00000,0.000
1.35,0.00000,0.000
1.50,0.00000,0.000
1.65,0.00000,0.000
1.80,0.00000,0.000
1.95,0.00000,0.000
2.10,0.00000,0.000
2.25,0.00000,0.000
2.40,0.00000,0.000
2.55,0.00000,0.000
2.70,0.00001,0.001
2.85,0.00001,0.001
3.00,0.00001,0.001
3.15,0.00001,0.001
3.30,0.00001,0.001
3.45,0.00001,0.001
3.60,0.00001,0.001
3.75,0.00001,0.001
3.90,0.00001,0.001
4.05,0.00001,0.001
4.20,0.00001,0.001
4.35,0.00001,0.001
4.50,0.00001,0.001
4.65,0.00002,0.002
4.80,0.00002,0.002
4.95,0.00002,0.002
5.10,0.00002,0.002
5.25,0.00002,0.002
5.40,0.00002,0.002
5.55,0.00002,0.002
5.70,0.00002,0.002
5.85,0.00002,0.002
6.00,0.00003,0.003
6.15,0.00003,0.003
6.30,0.00003,0.003
6.45,0.00003,0.003
6.60,0.00003,0.003
6.75,0.00003,0.003
6.90,0.00003,0.003
7.05,0.00004,0.004
7.20,0.00004,0.004
7.35,0.00004,0.004
7.50,0.00004,0.004
7.65,0.00004,0.004
7.80,0.00004,0.004
7.95,0.00004,0.004
8.10,0.00005,0.005
8.25,0.00005,0.005
8.40,0.00005,0.005
8.55,0.00005,0.005
8.70,0.00005,0.005
8.85,0.00006,0.006
9.00,0.00006,0.006
9.15,0.00006,0.006
9.30,0.00006,0.006
9.45,0.00006,0.006
9.60,0.00007,0.007
9.75,0.00007,0.007
9.90,0.00007,0.007
10.05,0.00007,0.007
10.20,0.00007,0.007
10.35,0.00008,0.008
10.50,0.00008,0.008
10.65,0.00008,0.008
10.80,0.00008,0.008
10.95,0.00008,0.008
11.10,0.00009,0.009
11.25,0.00009,0.009
11.40,0.00009,0.009
11.55,0.00009,0.009
11.70,0.00010,0.010
11.85,0.00010,0.010
12.00,0.00010,0.010
12.15,0.00010,0.010
12.30,0.00011,0.011
12.45,0.00011,0.011
12.60,0.00011,0.011
12.75,0.00011,0.011
12.90,0.00012,0.012
13.05,0.00012,0.012
13.20,0.00012,0.012
13.35,0.00013,0.013
13.50,0.00013,0.013
13.65,0.00013,0.013
13.79,0.00013,0.013
13.93,0.00014,0.014
14.07,0.00014,0.014
14.20,0.00014,0.014
14.33,0.00014,0.014
14.46,0.00015,0.015
14.59,0.00015,0.015
14.71,0.00015,0.015
14.82,0.00015,0.015
14.93,0.00016,0.016
15.04,0.00016,0.016
15.14,0.00016,0.016
15.23,0.00016,0.016
15.33,0.00016,0.016
15.42,0.00017,0.017
15.51,0.00017,0.017
15.60,0.00017,0.017
15.68,0.00017,0.017
15.76,0.00017,0.017
15.84,0.00017,0.017
15.92,0.00018,0.018
16.00,0.00018,0.018
16.08,0.00018,0.018
16.15,0.00018,0.018
16.22,0.00018,0.018
16.29,0.00018,0.018
16.36,0.00019,0.019
16.43,0.00019,0.019
16.50,0.00019,0.019
16.57,0.00019,0.019
16.64,0.00019,0.019
16.70,0.00019,0.019
16.77,0.00020,0.020
16.84,0.00020,0.020
16.91,0.00020,0.020
16.97,0.00020,0.020
17.04,0.00020,0.020
17.11,0.00020,0.020
17.18,0.00021,0.021
17.25,0.00021,0.021
17.31,0.00021,0.021
17.38,0.00021,0.021
17.45,0.00021,0.021
17.52,0.00021,0.021
17.58,0.00022,0.022
17.65,0.00022,0.022
17.72,0.00022,0.022
17.79,0.00022,0.022
17.86,0.00022,0.022
17.92,0.00022,0.022
17.99,0.00023,0.023
18.06,0.00023,0.023
18.13,0.00023,0.023
18.19,0.00023,0.023
18.26,0.00023,0.023
18.33,0.00023,0.023
18.40,0.00024,0.024
18.46,0.00024,0.024
18.53,0.00024,0.024
18.60,0.00024,0.024
18.67,0.00024,0.024
18.74,0.00025,0.025
18.80,0.00025,0.025
18.87,0.00025,0.025
18.94,0.00025,0.025
19.01,0.00025,0.025
19.07,0.00025,0.025
19.14,0.00026,0.026
19.21,0.00026,0.026
19.28,0.00026,0.026
19.35,0.00026,0.026
19.41,0.00026,0.026
19.48,0.00027,0.027
19.55,0.00027,0.027
19.62,0.00027,0.027
19.68,0.00027,0.027
19.75,0.00027,0.027
19.82,0.00028,0.028
19.89,0.00028,0.028
19.95,0.00028,0.028
20.02,0.00028,0.028
20.09,0.00028,0.028
20.16,0.00028,0.028
20.23,0.00029,0.029
20.29,0.00029,0.029
20.36,0.00029,0.029
20.43,0.00029,0.029
20.50,0.00029,0.029
20.56,0.00030,0.030
20.63,0.00030,0.030
20.70,0.00030,0.030
20.77,0.00030,0.030
20.84,0.00030,0.030
20.90,0.00031,0.031
20.97,0.00031,0.031
21.04,0.00031,0.031
21.11,0.00031,0.031
21.17,0.00031,0.031
21.24,0.00032,0.032
21.31,0.00032,0.032
21.38,0.00032,0.032
21.44,0.00032,0.032
21.51,0.00032,0.032
21.58,0.00033,0.033
21.65,0.00033,0.033
21.72,0.00033,0.033
21.78,0.00033,0.033
21.85,0.00034,0.034
21.92,0.00034,0.034
21.99,0.00034,0.034
22.05,0.00034,0.034
22.12,0.00034,0.034
22.19,0.00035,0.035
22.26,0.00035,0.035
22.33,0.00035,0.035
22.39,0.00035,0.035
22.46,0.00035,0.035
22.53,0.00036,0.036
22.60,0.00036,0.036
22.66,0.00036,0.036
22.73,0.00036,0.036
22.80,0.00037,0.037
22.87,0.00037,0.037
22.93,0.00037,0.037
23.00,0.00037,0.037
23.07,0.00037,0.037
23.14,0.00038,0.038
23.21,0.00038,0.038
23.27,0.00038,0.038
23.34,0.00038,0.038
23.41,0.00039,0.039
23.48,0.00039,0.039
23.54,0.00039,0.039
23.61,0.00039,0.039
23.68,0.00040,0.040
23.75,0.00040,0.040
23.82,0.00040,0.040
23.88,0.00040,0.040
23.95,0.00040,0.040
