time_min,cumulative_depth_mm,incremental_depth_mm
0,0.0,0.0
5,3.2596666666666656,3.2596666666666656
10,7.823199999999998,4.563533333333332
15,14.668500000000002,6.8453000000000035
20,24.447499999999994,9.778999999999993
25,38.790033333333334,14.34253333333334
30,61.607699999999994,22.81766666666666
35,73.83145,12.22375000000001
40,82.14359999999999,8.312149999999988
45,88.011,5.8674000000000035
50,92.24856666666666,4.237566666666666
55,95.34525,3.0966833333333312
60,97.78999999999999,2.444749999999999
