time_s,level_rise_m,level_rise_cm
0.00,0.00000,0.000
0.15,0.00000,0.000
0.30,0.00000,0.000
0.45,0.00000,0.000
0.60,0.00000,0.000
0.75,0.00000,0.000
0.90,0.00000,0.000
1.05,0.00000,0.000
1.20,0.00000,0.000
1.35,0.00000,0.000
1.50,0.00000,0.000
1.65,0.00000,0.000
1.80,0.00000,0.000
1.95,0.00000,0.000
2.10,0.00000,0.000
2.25,0.00000,0.000
2.40,0.00000,0.000
2.55,0.00000,0.000
2.70,0.00000,0.000
2.85,0.00000,0.000
3.00,0.00000,0.000
3.15,0.00000,0.000
3.30,0.00000,0.000
3.45,0.00000,0.000
3.60,0.00001,0.001
3.75,0.00001,0.001
3.90,0.00001,0.001
4.05,0.00001,0.001
4.20,0.00001,0.001
4.35,0.00001,0.001
4.50,0.00001,0.001
4.65,0.00001,0.001
4.80,0.00001,0.001
4.95,0.00001,0.001
5.10,0.00001,0.001
5.25,0.00001,0.001
5.40,0.00001,0.001
5.55,0.00001,0.001
5.70,0.00001,0.001
5.85,0.00001,0.001
6.00,0.00001,0.001
6.15,0.00001,0.001
6.30,0.00002,0.002
6.45,0.00002,0.002
6.60,0.00002,0.002
6.75,0.00002,0.002
6.90,0.00002,0.002
7.05,0.00002,0.002
7.20,0.00002,0.002
7.35,0.00002,0.002
7.50,0.00002,0.002
7.65,0.00002,0.002
7.80,0.00002,0.002
7.95,0.00002,0.002
8.10,0.00003,0.003
8.25,0.00003,0.003
8.40,0.00003,0.003
8.55,0.00003,0.003
8.70,0.00003,0.003
8.85,0.00003,0.003
9.00,0.00003,0.003
9.15,0.00003,0.003
9.30,0.00003,0.003
9.45,0.00004,0.004
9.60,0.00004,0.004
9.75,0.00004,0.004
9.90,0.00004,0.004
10.05,0.00004,0.004
10.20,0.00004,0.004
10.35,0.00004,0.004
10.50,0.00004,0.004
10.65,0.00004,0.004
10.80,0.00005,0.005
10.95,0.00005,0.005
11.10,0.00005,0.005
11.25,0.00005,0.005
11.40,0.00005,0.005
11.55,0.00005,0.005
11.70,0.00005,0.005
11.85,0.00005,0.005
12.00,0.00006,0.006
12.15,0.00006,0.006
12.30,0.00006,0.006
12.45,0.00006,0.006
12.60,0.00006,0.006
12.75,0.00006,0.006
12.90,0.00006,0.006
13.05,0.00007,0.007
13.20,0.00007,0.007
13.35,0.00007,0.007
13.50,0.00007,0.007
13.65,0.00007,0.007
13.80,0.00007,0.007
13.95,0.00008,0.008
14.10,0.00008,0.008
14.25,0.00008,0.008
14.40,0.00008,0.008
14.55,0.00008,0.008
14.70,0.00008,0.008
14.85,0.00009,0.009
15.00,0.00009,0.009
15.15,0.00009,0.009
15.30,0.00009,0.009
15.45,0.00009,0.009
15.60,0.00009,0.009
15.75,0.00010,0.010
15.90,0.00010,0.010
16.05,0.00010,0.010
16.20,0.00010,0.010
16.35,0.00010,0.010
16.50,0.00011,0.011
16.65,0.00011,0.011
16.80,0.00011,0.011
16.95,0.00011,0.011
17.10,0.00011,0.011
17.25,0.00012,0.012
17.40,0.00012,0.012
17.55,0.00012,0.012
17.70,0.00012,0.012
17.85,0.00012,0.012
17.99,0.00013,0.013
18.13,0.00013,0.013
18.26,0.00013,0.013
18.40,0.00013,0.013
18.53,0.00013,0.013
18.67,0.00014,0.014
18.80,0.00014,0.014
18.92,0.00014,0.014
19.04,0.00014,0.014
19.15,0.00014,0.014
19.26,0.00014,0.014
19.36,0.00015,0.015
19.47,0.00015,0.015
19.56,0.00015,0.015
19.66,0.00015,0.015
19.75,0.00015,0.015
19.84,0.00015,0.015
19.93,0.00015,0.015
20.02,0.00016,0.016
20.10,0.00016,0.016
20.19,0.00016,0.016
20.27,0.00016,0.016
20.35,0.00016,0.016
20.42,0.00016,0.016
20.50,0.00016,0.016
20.58,0.00016,0.016
20.65,0.00016,0.016
20.72,0.00017,0.017
20.79,0.00017,0.017
20.86,0.00017,0.017
20.93,0.00017,0.017
21.00,0.00017,0.017
21.07,0.00017,0.017
21.14,0.00017,0.017
21.20,0.00017,0.017
21.27,0.00018,0.018
21.34,0.00018,0.018
21.41,0.00018,0.018
21.47,0.00018,0.018
21.54,0.00018,0.018
21.61,0.00018,0.018
21.68,0.00018,0.018
21.75,0.00018,0.018
21.81,0.00018,0.018
21.88,0.00019,0.019
21.95,0.00019,0.019
22.02,0.00019,0.019
22.08,0.00019,0.019
22.15,0.00019,0.019
22.22,0.00019,0.019
22.29,0.00019,0.019
22.36,0.00019,0.019
22.42,0.00019,0.019
22.49,0.00020,0.020
22.56,0.00020,0.020
22.63,0.00020,0.020
22.69,0.00020,0.020
22.76,0.00020,0.020
22.83,0.00020,0.020
22.90,0.00020,0.020
22.96,0.00020,0.020
23.03,0.00021,0.021
23.10,0.00021,0.021
23.17,0.00021,0.021
23.24,0.00021,0.021
23.30,0.00021,0.021
23.37,0.00021,0.021
23.44,0.00021,0.021
23.51,0.00021,0.021
23.57,0.00022,0.022
23.64,0.00022,0.022
23.71,0.00022,0.022
23.78,0.00022,0.022
23.85,0.00022,0.022
23.91,0.00022,0.022
23.98,0.00022,0.022
24.05,0.00022,0.022
24.12,0.00023,0.023
24.18,0.00023,0.023
24.25,0.00023,0.023
24.32,0.00023,0.023
24.39,0.00023,0.023
24.45,0.00023,0.023
24.52,0.00023,0.023
24.59,0.00024,0.024
24.66,0.00024,0.024
24.73,0.00024,0.024
24.79,0.00024,0.024
24.86,0.00024,0.024
24.93,0.00024,0.024
25.00,0.00024,0.024
25.06,0.00024,0.024
25.13,0.00025,0.025
25.20,0.00025,0.025
25.27,0.00025,0.025
25.34,0.00025,0.025
25.40,0.00025,0.025
25.47,0.00025,0.025
25.54,0.00025,0.025
25.61,0.00026,0.026
25.67,0.00026,0.026
25.74,0.00026,0.026
25.81,0.00026,0.026
25.88,0.00026,0.026
25.94,0.00026,0.026
26.01,0.00026,0.026
26.08,0.00026,0.026
26.15,0.00027,0.027
26.22,0.00027,0.027
26.28,0.00027,0.027
26.35,0.00027,0.027
