date,season,s2_area_ha,dem_volume_m3,mean_depth_m
20151116,shoulder,87.83,2722482.0,2.897
20160713,wet,120.03,5539058.0,4.312
20160822,wet,60.94,1263698.0,1.942
20160911,wet,91.24,2050574.0,2.101
20161021,shoulder,112.0,2496531.0,2.084
20161110,shoulder,71.95,1627015.0,2.113
20161120,shoulder,44.43,1053218.0,2.215
20170310,dry,106.86,2327871.0,2.037
20170330,dry,79.29,1712282.0,2.02
20170509,dry,104.49,2298002.0,2.056
20170529,dry,44.75,1111165.0,2.325
20170817,wet,89.43,1996573.0,2.088
20170926,wet,101.09,2243107.0,2.075
20171031,shoulder,69.84,1567454.0,2.098
20171120,shoulder,74.49,1605615.0,2.021
20171130,shoulder,21.05,500962.0,2.236
20171210,shoulder,43.14,968320.0,2.098
20171230,shoulder,70.88,1699659.0,2.243
20180104,dry,45.53,1041660.0,2.141
20180124,dry,97.15,2163497.0,2.083
20180218,dry,57.38,1261590.0,2.057
20180228,dry,10.4,256582.0,2.323
20180305,dry,86.15,1935513.0,2.1
20180315,dry,103.74,2287731.0,2.062
20180325,dry,65.4,1502711.0,2.15
20180404,dry,58.38,1279873.0,2.05
20180419,dry,108.06,2396066.0,2.072
20180424,dry,100.99,2240652.0,2.075
20180429,dry,104.21,2288854.0,2.054
20180509,dry,106.94,2342018.0,2.048
20180524,dry,124.83,4166773.0,3.121
20180608,wet,76.8,1695610.0,2.065
20180817,wet,93.69,2095344.0,2.092
20180916,wet,117.26,2525483.0,2.013
20180926,wet,64.29,1443156.0,2.098
20181016,shoulder,44.7,1853648.0,3.88
20181021,shoulder,99.0,2224923.0,2.101
20181031,shoulder,38.37,873245.0,2.127
20181205,shoulder,56.34,1232648.0,2.048
20190129,dry,109.74,2446961.0,2.086
20190208,dry,119.56,2645514.0,2.068
20190325,dry,72.44,1632828.0,2.107
20190424,dry,115.97,2560983.0,2.065
20190429,dry,94.26,2040209.0,2.026
20190519,dry,129.43,3642597.0,2.63
20190524,dry,92.94,2085155.0,2.098
20190529,dry,89.19,1953001.0,2.05
20190623,wet,86.85,1965975.0,2.116
20190827,wet,110.57,2502737.0,2.116
20191011,shoulder,91.16,2030460.0,2.083
20191110,shoulder,86.72,1938697.0,2.091
20191120,shoulder,114.08,2510882.0,2.058
20191130,shoulder,98.28,2219219.0,2.111
20191210,shoulder,96.7,2853752.0,2.758
20191215,shoulder,38.45,868783.0,2.114
20191225,shoulder,7.59,206575.0,2.579
20200109,dry,79.16,1837680.0,2.17
20200203,dry,101.06,2289458.0,2.118
20200208,dry,94.57,2147305.0,2.122
20200223,dry,21.97,820074.0,3.485
20200228,dry,123.35,2735535.0,2.073
20200314,dry,95.55,2159789.0,2.114
20200324,dry,82.38,2576833.0,2.917
20200329,dry,110.86,2447691.0,2.064
20200403,dry,110.75,2458966.0,2.075
20200408,dry,120.86,2690925.0,2.081
20200503,dry,104.85,2356970.0,2.102
20200508,dry,100.31,2248317.0,2.094
20200622,wet,99.09,2361059.0,2.228
20200627,wet,346.97,13509608.0,3.638
20200712,wet,151.43,5457637.0,3.363
20200727,wet,104.09,3364629.0,3.022
20200801,wet,17.43,437463.0,2.361
20200905,wet,110.8,2460003.0,2.075
20200925,wet,128.42,4519430.0,3.291
20201015,shoulder,86.57,1926476.0,2.078
20201030,shoulder,67.07,1558012.0,2.171
20201124,shoulder,56.39,1270464.0,2.106
20201209,shoulder,93.59,2138375.0,2.135
20201219,shoulder,9.93,523048.0,4.92
20201229,shoulder,33.12,666604.0,1.887
20210118,dry,35.3,856806.0,2.275
20210128,dry,84.1,1876394.0,2.087
20210202,dry,116.33,2594611.0,2.085
20210222,dry,41.72,1086458.0,2.436
20210227,dry,188.4,8526550.0,4.231
20210304,dry,100.11,2280928.0,2.129
20210309,dry,83.72,1937681.0,2.164
20210314,dry,104.22,2331812.0,2.091
20210319,dry,100.08,2301776.0,2.15
20210324,dry,111.51,2492827.0,2.089
20210408,dry,111.79,2498696.0,2.089
20210413,dry,112.44,2514225.0,2.09
20210428,dry,104.59,2364088.0,2.114
20210503,dry,115.18,2557838.0,2.075
20210508,dry,97.82,2205645.0,2.108
20210523,dry,90.85,2020803.0,2.079
20210528,dry,232.7,14622100.0,5.871
20210722,wet,98.8,2271461.0,2.147
20210806,wet,86.87,2188564.0,2.355
20210821,wet,107.5,2428080.0,2.112
20211020,shoulder,93.43,2184456.0,2.186
20211030,shoulder,103.88,2358234.0,2.123
20211124,shoulder,84.82,2004988.0,2.209
20211129,shoulder,106.91,2456471.0,2.149
20211204,shoulder,110.67,2557789.0,2.162
20211224,shoulder,79.75,1938957.0,2.272
20211229,shoulder,102.19,2374092.0,2.172
20220103,dry,76.68,1773529.0,2.161
20220108,dry,89.98,2124741.0,2.208
20220113,dry,91.64,2138756.0,2.183
20220118,dry,97.16,2293747.0,2.208
20220202,dry,67.17,1643654.0,2.285
20220212,dry,101.05,2410925.0,2.23
20220222,dry,91.76,2191156.0,2.23
