date,station_id,elevation_ft_navd88,elevation_m_navd88
1959-07-01,JOHNS,95.01,28.959
1959-07-01,JOHNS,96.05,29.276
1959-07-01,JOHNS,96.05,29.276
1959-10-01,JOHNS,97.07,29.5869
1959-10-01,JOHNS,98.11,29.9039
1959-10-01,JOHNS,98.11,29.9039
1960-08-01,JOHNS,97.42,29.6936
1960-08-01,JOHNS,98.46,30.0106
1960-08-01,JOHNS,98.46,30.0106
1960-10-01,JOHNS,97.35,29.6723
1960-10-01,JOHNS,98.39,29.9893
1960-10-01,JOHNS,98.39,29.9893
1960-11-01,JOHNS,96.68,29.4681
1960-11-01,JOHNS,97.72,29.7851
1960-11-01,JOHNS,97.72,29.7851
1960-12-01,JOHNS,96.11,29.2943
1960-12-01,JOHNS,97.15,29.6113
1960-12-01,JOHNS,97.15,29.6113
1961-01-01,JOHNS,95.96,29.2486
1961-01-01,JOHNS,97.0,29.5656
1961-01-01,JOHNS,97.0,29.5656
1961-02-01,JOHNS,95.99,29.2578
1961-02-01,JOHNS,97.03,29.5747
1961-02-01,JOHNS,97.03,29.5747
1961-03-01,JOHNS,95.71,29.1724
1961-03-01,JOHNS,96.75,29.4894
1961-03-01,JOHNS,96.75,29.4894
1961-04-01,JOHNS,95.23,29.0261
1961-04-01,JOHNS,96.27,29.3431
1961-04-01,JOHNS,96.27,29.3431
1961-05-01,JOHNS,94.43,28.7823
1961-05-01,JOHNS,95.47,29.0993
1961-05-01,JOHNS,95.47,29.0993
1961-06-01,JOHNS,94.09,28.6786
1961-06-01,JOHNS,95.13,28.9956
1961-06-01,JOHNS,95.13,28.9956
1961-07-01,JOHNS,94.11,28.6847
1961-07-01,JOHNS,95.15,29.0017
1961-07-01,JOHNS,95.15,29.0017
1961-08-01,JOHNS,93.7,28.5598
1961-08-01,JOHNS,94.74,28.8768
1961-08-01,JOHNS,94.74,28.8768
1961-09-01,JOHNS,93.84,28.6024
1961-09-01,JOHNS,94.88,28.9194
1961-09-01,JOHNS,94.88,28.9194
1961-10-01,JOHNS,93.65,28.5445
1961-10-01,JOHNS,94.69,28.8615
1961-10-01,JOHNS,94.69,28.8615
1961-11-01,JOHNS,93.41,28.4714
1961-11-01,JOHNS,94.45,28.7884
1961-11-01,JOHNS,94.45,28.7884
1961-12-01,JOHNS,92.88,28.3098
1961-12-01,JOHNS,93.92,28.6268
1961-12-01,JOHNS,93.92,28.6268
1962-01-01,JOHNS,92.71,28.258
1962-01-01,JOHNS,93.75,28.575
1962-01-01,JOHNS,93.75,28.575
1962-02-01,JOHNS,92.7,28.255
1962-02-01,JOHNS,93.74,28.572
1962-02-01,JOHNS,93.74,28.572
1962-03-01,JOHNS,92.44,28.1757
1962-03-01,JOHNS,93.48,28.4927
1962-03-01,JOHNS,93.48,28.4927
1962-04-01,JOHNS,91.92,28.0172
1962-04-01,JOHNS,92.96,28.3342
1962-04-01,JOHNS,92.96,28.3342
1962-05-01,JOHNS,91.17,27.7886
1962-05-01,JOHNS,92.21,28.1056
1962-05-01,JOHNS,92.21,28.1056
1962-06-01,JOHNS,91.13,27.7764
1962-06-01,JOHNS,92.17,28.0934
1962-06-01,JOHNS,92.17,28.0934
1962-07-01,JOHNS,90.82,27.6819
1962-07-01,JOHNS,91.86,27.9989
1962-07-01,JOHNS,91.86,27.9989
1962-08-01,JOHNS,90.86,27.6941
1962-08-01,JOHNS,91.9,28.0111
1962-08-01,JOHNS,91.9,28.0111
1962-09-01,JOHNS,91.51,27.8922
1962-09-01,JOHNS,92.55,28.2092
1962-09-01,JOHNS,92.55,28.2092
1962-10-01,JOHNS,91.21,27.8008
1962-10-01,JOHNS,92.25,28.1178
1962-10-01,JOHNS,92.25,28.1178
1962-11-01,JOHNS,91.01,27.7398
1962-11-01,JOHNS,92.05,28.0568
1962-11-01,JOHNS,92.05,28.0568
1962-12-01,JOHNS,90.7,27.6454
1962-12-01,JOHNS,91.74,27.9624
1962-12-01,JOHNS,91.74,27.9624
1963-01-01,JOHNS,90.62,27.621
1963-01-01,JOHNS,91.66,27.938
1963-01-01,JOHNS,91.66,27.938
1963-02-01,JOHNS,90.99,27.7338
1963-02-01,JOHNS,92.03,28.0507
1963-02-01,JOHNS,92.03,28.0507
1963-03-01,JOHNS,91.33,27.8374
1963-03-01,JOHNS,92.37,28.1544
1963-03-01,JOHNS,92.37,28.1544
1963-04-01,JOHNS,90.67,27.6362
1963-04-01,JOHNS,91.71,27.9532
1963-04-01,JOHNS,91.71,27.9532
1963-05-01,JOHNS,90.23,27.5021
1963-05-01,JOHNS,91.27,27.8191
1963-05-01,JOHNS,91.27,27.8191
1963-06-01,JOHNS,90.24,27.5052
1963-06-01,JOHNS,91.28,27.8221
1963-06-01,JOHNS,91.28,27.8221
1963-07-01,JOHNS,90.74,27.6576
1963-07-01,JOHNS,91.78,27.9745
1963-07-01,JOHNS,91.78,27.9745
1963-08-01,JOHNS,90.76,27.6636
1963-08-01,JOHNS,91.8,27.9806
1963-08-01,JOHNS,91.8,27.9806
1963-09-01,JOHNS,91.02,27.7429
1963-09-01,JOHNS,92.06,28.0599
1963-09-01,JOHNS,92.06,28.0599
1963-10-01,JOHNS,90.72,27.6515
1963-10-01,JOHNS,91.76,27.9684
1963-10-01,JOHNS,91.76,27.9684
1963-11-01,JOHNS,90.83,27.685
1963-11-01,JOHNS,91.87,28.002
1963-11-01,JOHNS,91.87,28.002
1963-12-01,JOHNS,90.73,27.6545
1963-12-01,JOHNS,91.77,27.9715
1963-12-01,JOHNS,91.77,27.9715
1964-01-01,JOHNS,91.67,27.941
1964-01-01,JOHNS,92.71,28.258
1964-01-01,JOHNS,92.71,28.258
1964-02-01,JOHNS,92.0,28.0416
1964-02-01,JOHNS,93.04,28.3586
1964-02-01,JOHNS,93.04,28.3586
1964-03-01,JOHNS,92.16,28.0904
1964-03-01,JOHNS,93.2,28.4074
1964-03-01,JOHNS,93.2,28.4074
1964-04-01,JOHNS,92.35,28.1483
1964-04-01,JOHNS,93.39,28.4653
1964-04-01,JOHNS,93.39,28.4653
1964-05-01,JOHNS,92.01,28.0446
1964-05-01,JOHNS,93.05,28.3616
1964-05-01,JOHNS,93.05,28.3616
1964-06-01,JOHNS,91.48,27.8831
1964-06-01,JOHNS,92.52,28.2001
1964-06-01,JOHNS,92.52,28.2001
1964-07-01,JOHNS,91.87,28.002
1964-07-01,JOHNS,92.91,28.319
1964-07-01,JOHNS,92.91,28.319
1964-08-01,JOHNS,92.24,28.1148
1964-08-01,JOHNS,93.28,28.4317
1964-08-01,JOHNS,93.28,28.4317
1964-09-01,JOHNS,94.06,28.6695
1964-09-01,JOHNS,95.1,28.9865
1964-09-01,JOHNS,95.1,28.9865
1964-10-01,JOHNS,93.68,28.5537
1964-10-01,JOHNS,94.72,28.8707
1964-10-01,JOHNS,94.72,28.8707
1964-11-01,JOHNS,93.2,28.4074
1964-11-01,JOHNS,94.24,28.7244
1964-11-01,JOHNS,94.24,28.7244
1964-12-01,JOHNS,93.11,28.3799
1964-12-01,JOHNS,94.15,28.6969
1964-12-01,JOHNS,94.15,28.6969
1965-01-01,JOHNS,92.81,28.2885
1965-01-01,JOHNS,93.85,28.6055
1965-01-01,JOHNS,93.85,28.6055
1965-02-01,JOHNS,92.69,28.2519
1965-02-01,JOHNS,93.73,28.5689
1965-02-01,JOHNS,93.73,28.5689
1965-03-01,JOHNS,92.62,28.2306
1965-03-01,JOHNS,93.66,28.5476
1965-03-01,JOHNS,93.66,28.5476
1965-04-01,JOHNS,92.01,28.0446
1965-04-01,JOHNS,93.05,28.3616
1965-04-01,JOHNS,93.05,28.3616
1965-05-01,JOHNS,91.37,27.8496
1965-05-01,JOHNS,92.41,28.1666
1965-05-01,JOHNS,92.41,28.1666
1965-06-01,JOHNS,91.27,27.8191
1965-06-01,JOHNS,92.31,28.1361
1965-06-01,JOHNS,92.31,28.1361
1965-07-01,JOHNS,91.28,27.8221
1965-07-01,JOHNS,92.32,28.1391
1965-07-01,JOHNS,92.32,28.1391
1965-08-01,JOHNS,91.36,27.8465
1965-08-01,JOHNS,92.4,28.1635
1965-08-01,JOHNS,92.4,28.1635
1965-09-01,JOHNS,91.47,27.8801
1965-09-01,JOHNS,92.51,28.197
1965-09-01,JOHNS,92.51,28.197
1965-10-01,JOHNS,91.66,27.938
1965-10-01,JOHNS,92.7,28.255
1965-10-01,JOHNS,92.7,28.255
1965-11-01,JOHNS,91.49,27.8862
