date,elevation_ft_navd88,elevation_m_navd88
1959-09-07,95.752,29.1852
1959-09-16,96.292,29.3498
1959-09-19,96.452,29.3986
1959-09-20,96.532,29.423
1959-09-23,96.552,29.429
1959-09-26,96.572,29.4351
1959-09-30,96.512,29.4169
1959-10-03,96.452,29.3986
1959-10-07,96.712,29.4778
1959-10-10,96.792,29.5022
1959-10-14,96.832,29.5144
1959-10-17,96.872,29.5266
1959-10-21,96.872,29.5266
1959-10-24,97.012,29.5693
1959-10-28,96.992,29.5632
1959-10-31,96.972,29.5571
1959-11-04,96.912,29.5388
1959-11-07,96.832,29.5144
1959-11-11,96.772,29.4961
1959-11-14,96.752,29.49
1959-11-18,96.652,29.4595
1959-11-21,96.612,29.4473
1959-11-25,96.612,29.4473
1959-11-28,96.552,29.429
1959-12-02,96.432,29.3925
1959-12-05,96.392,29.3803
1959-12-09,96.352,29.3681
1959-12-12,96.332,29.362
1959-12-16,96.292,29.3498
1959-12-19,96.252,29.3376
1959-12-23,96.212,29.3254
1959-12-26,96.292,29.3498
1959-12-30,96.272,29.3437
1960-01-02,96.252,29.3376
1960-01-06,96.232,29.3315
1960-01-09,96.192,29.3193
1960-01-13,96.152,29.3071
1960-01-16,96.132,29.301
1960-01-20,96.092,29.2888
1960-01-23,95.932,29.2401
1960-01-27,95.912,29.234
1960-01-30,95.972,29.2523
1960-02-03,95.932,29.2401
1960-02-06,96.112,29.2949
1960-02-10,96.092,29.2888
1960-02-13,96.112,29.2949
1960-02-15,96.032,29.2706
1960-02-17,96.012,29.2645
1960-02-20,95.972,29.2523
1960-02-24,96.032,29.2706
1960-02-27,96.132,29.301
1960-03-02,96.192,29.3193
1960-03-05,96.172,29.3132
1960-03-09,96.172,29.3132
1960-03-12,96.192,29.3193
1960-03-16,96.692,29.4717
1960-03-19,97.352,29.6729
1960-03-23,98.032,29.8802
1960-03-26,97.992,29.868
1960-03-30,98.112,29.9045
1960-04-02,98.252,29.9472
1960-04-06,98.392,29.9899
1960-04-09,98.332,29.9716
1960-04-13,98.112,29.9045
1960-04-16,98.052,29.8862
1960-04-20,97.912,29.8436
1960-04-23,98.052,29.8862
1960-04-27,97.952,29.8558
1960-04-30,97.992,29.868
1960-05-04,97.852,29.8253
1960-05-07,97.792,29.807
1960-05-11,97.612,29.7521
1960-05-14,97.512,29.7217
1960-05-18,97.452,29.7034
1960-05-21,97.372,29.679
1960-05-25,97.232,29.6363
1960-05-28,97.152,29.6119
1960-06-01,97.052,29.5814
1960-06-04,97.072,29.5875
1960-06-08,96.952,29.551
1960-06-11,96.912,29.5388
1960-06-15,96.812,29.5083
1960-06-18,96.832,29.5144
1960-06-22,96.872,29.5266
1960-06-25,96.932,29.5449
1960-06-29,96.932,29.5449
1960-07-02,96.952,29.551
1960-07-06,96.832,29.5144
1960-07-09,96.812,29.5083
1960-07-13,96.792,29.5022
1960-07-16,96.832,29.5144
1960-07-20,96.852,29.5205
1960-07-23,96.832,29.5144
1960-07-27,96.852,29.5205
1960-07-30,97.072,29.5875
1960-08-03,97.132,29.6058
1960-08-06,97.072,29.5875
1960-08-10,96.992,29.5632
1960-08-13,96.952,29.551
1960-08-17,96.892,29.5327
1960-08-20,96.852,29.5205
1960-08-24,96.832,29.5144
1960-08-27,96.812,29.5083
1960-08-31,96.752,29.49
1960-09-03,96.792,29.5022
1960-09-07,96.772,29.4961
1960-09-10,96.752,29.49
1960-09-14,97.712,29.7826
1960-09-17,97.752,29.7948
1960-09-21,97.852,29.8253
1960-09-24,97.892,29.8375
1960-09-28,97.972,29.8619
1960-09-30,98.052,29.8862
1960-10-05,97.912,29.8436
1960-10-08,97.872,29.8314
1960-10-12,97.852,29.8253
1960-10-15,97.792,29.807
1960-10-19,97.652,29.7643
1960-10-22,97.512,29.7217
1960-10-26,97.452,29.7034
1960-10-29,97.252,29.6424
1960-11-02,97.152,29.6119
1960-11-05,97.052,29.5814
1960-11-09,96.892,29.5327
1960-11-12,96.792,29.5022
1960-11-16,96.712,29.4778
1960-11-19,96.652,29.4595
1960-11-23,96.572,29.4351
1960-11-26,96.492,29.4108
1960-11-30,96.412,29.3864
1960-12-03,96.232,29.3315
1960-12-07,96.152,29.3071
1960-12-10,96.112,29.2949
1960-12-14,96.052,29.2766
1960-12-17,96.012,29.2645
1960-12-21,96.032,29.2706
1960-12-24,96.012,29.2645
1960-12-28,95.992,29.2584
1960-12-31,95.972,29.2523
1961-01-04,95.952,29.2462
1961-01-07,95.932,29.2401
1961-01-11,95.912,29.234
1961-01-14,95.952,29.2462
1961-01-18,95.932,29.2401
1961-01-21,95.872,29.2218
1961-01-25,95.832,29.2096
1961-01-28,95.812,29.2035
1961-02-01,95.892,29.2279
1961-02-04,95.932,29.2401
1961-02-08,96.032,29.2706
1961-02-11,95.992,29.2584
1961-02-15,95.972,29.2523
1961-02-18,95.952,29.2462
1961-02-22,95.932,29.2401
1961-02-25,95.892,29.2279
1961-03-01,95.852,29.2157
1961-03-04,95.832,29.2096
1961-03-08,95.752,29.1852
1961-03-11,95.632,29.1486
1961-03-15,95.592,29.1364
1961-03-18,95.552,29.1242
1961-03-22,95.652,29.1547
1961-03-25,95.612,29.1425
1961-03-29,95.552,29.1242
1961-04-01,95.572,29.1303
1961-04-05,95.452,29.0938
1961-04-08,95.412,29.0816
1961-04-10,95.372,29.0694
1961-04-12,95.352,29.0633
1961-04-15,95.312,29.0511
1961-04-19,95.252,29.0328
1961-04-22,95.112,28.9901
1961-04-26,95.052,28.9718
1961-04-29,94.932,28.9353
1961-05-03,94.872,28.917
1961-05-06,94.812,28.8987
1961-05-10,94.772,28.8865
1961-05-13,94.672,28.856
1961-05-17,94.572,28.8255
1961-05-20,94.512,28.8073
1961-05-24,94.372,28.7646
1961-05-27,94.312,28.7463
1961-05-29,94.272,28.7341
1961-05-31,94.212,28.7158
1961-06-03,94.152,28.6975
1961-06-07,94.052,28.667
1961-06-10,94.072,28.6731
1961-06-14,94.052,28.667
1961-06-17,94.012,28.6549
1961-06-21,93.992,28.6488
1961-06-24,93.952,28.6366
1961-06-28,93.932,28.6305
1961-07-01,93.892,28.6183
1961-07-05,93.952,28.6366
1961-07-08,93.972,28.6427
1961-07-12,93.952,28.6366
1961-07-15,93.972,28.6427
1961-07-19,93.952,28.6366
1961-07-22,93.972,28.6427
1961-07-26,93.912,28.6244
1961-07-29,93.852,28.6061
1961-07-31,93.842,28.603
1961-08-02,93.792,28.5878
1961-08-05,93.752,28.5756
1961-08-09,93.652,28.5451
1961-08-12,93.612,28.5329
1961-08-16,93.612,28.5329
1961-08-19,93.692,28.5573
1961-08-23,93.652,28.5451
1961-08-26,93.612,28.5329
1961-08-30,93.692,28.5573
1961-09-02,93.912,28.6244
1961-09-06,93.892,28.6183
1961-09-09,93.912,28.6244
1961-09-13,93.892,28.6183
1961-09-16,93.912,28.6244
1961-09-20,93.852,28.6061
1961-09-23,93.792,28.5878
1961-09-27,93.732,28.5695
1961-09-30,93.652,28.5451
1961-10-04,93.552,28.5146
1961-10-07,93.512,28.5025
1961-10-11,93.472,28.4903
1961-10-14,93.552,28.5146
1961-10-18,93.512,28.5025
1961-10-21,93.452,28.4842
1961-10-25,93.372,28.4598
1961-10-28,93.352,28.4537
1961-11-01,93.332,28.4476
1961-11-04,93.292,28.4354
1961-11-08,93.412,28.472
1961-11-11,93.332,28.4476
1961-11-15,93.292,28.4354
1961-11-18,93.272,28.4293
1961-11-20,93.202,28.408
1961-11-22,93.232,28.4171
1961-11-25,93.192,28.4049
1961-11-29,93.112,28.3805
1961-12-02,93.052,28.3622
1961-12-06,93.012,28.3501
1961-12-09,92.952,28.3318
1961-12-13,92.912,28.3196
1961-12-16,92.892,28.3135
1961-12-20,92.952,28.3318
1961-12-23,92.912,28.3196
1961-12-27,92.852,28.3013
1961-12-30,92.752,28.2708
1962-01-03,92.732,28.2647
1962-01-06,92.752,28.2708
1962-01-10,92.732,28.2647
1962-01-13,92.692,28.2525
1962-01-17,92.652,28.2403
1962-01-20,92.612,28.2281
1962-01-24,92.592,28.222
1962-01-27,92.572,28.2159
1962-01-31,92.512,28.1977
1962-02-03,92.452,28.1794
1962-02-07,92.432,28.1733
1962-02-10,92.632,28.2342
1962-02-14,92.592,28.222
1962-02-17,92.552,28.2098
1962-02-21,92.532,28.2038
1962-02-24,92.472,28.1855
1962-02-28,92.432,28.1733
1962-03-03,92.392,28.1611
1962-03-07,92.302,28.1336
1962-03-10,92.252,28.1184
1962-03-12,92.232,28.1123
1962-03-14,92.192,28.1001
1962-03-17,92.312,28.1367
1962-03-21,92.252,28.1184
1962-03-24,92.312,28.1367
1962-03-28,92.252,28.1184
1962-03-31,92.212,28.1062
1962-04-04,92.112,28.0757
1962-04-07,92.152,28.0879
1962-04-11,92.052,28.0574
1962-04-14,91.952,28.027
1962-04-18,91.912,28.0148
1962-04-21,91.832,27.9904
1962-04-25,91.752,27.966
1962-04-28,91.692,27.9477
1962-05-02,91.732,27.9599
1962-05-05,91.652,27.9355
1962-05-09,91.552,27.905
1962-05-12,91.472,27.8807
1962-05-16,91.352,27.8441
1962-05-19,91.252,27.8136
1962-05-23,91.192,27.7953
1962-05-26,91.112,27.7709
1962-05-30,91.052,27.7526
1962-05-31,91.022,27.7435
1962-06-02,91.012,27.7405
1962-06-06,90.952,27.7222
1962-06-09,91.132,27.777
1962-06-13,91.072,27.7587
1962-06-16,91.112,27.7709
1962-06-20,91.072,27.7587
1962-06-23,91.052,27.7526
1962-06-27,91.012,27.7405
1962-06-30,90.952,27.7222
1962-07-04,90.932,27.7161
1962-07-07,90.892,27.7039
1962-07-11,90.812,27.6795
1962-07-14,90.852,27.6917
1962-07-18,90.792,27.6734
1962-07-21,90.852,27.6917
1962-07-25,90.752,27.6612
1962-07-28,90.652,27.6307
1962-08-01,90.712,27.649
1962-08-04,90.852,27.6917
1962-08-08,90.792,27.6734
1962-08-11,90.732,27.6551
1962-08-15,90.792,27.6734
1962-08-18,90.872,27.6978
1962-08-22,90.812,27.6795
1962-08-25,90.752,27.6612
1962-08-29,90.752,27.6612
1962-09-01,90.732,27.6551
1962-09-05,90.692,27.6429
1962-09-08,90.672,27.6368
1962-09-12,90.872,27.6978
1962-09-15,90.852,27.6917
1962-09-19,91.032,27.7466
1962-09-22,91.252,27.8136
1962-09-26,91.292,27.8258
1962-09-29,91.352,27.8441
1962-10-03,91.392,27.8563
1962-10-06,91.532,27.899
1962-10-10,91.492,27.8868
1962-10-13,91.452,27.8746
1962-10-15,91.402,27.8593
1962-10-17,91.392,27.8563
1962-10-20,91.352,27.8441
1962-10-24,91.252,27.8136
1962-10-27,91.152,27.7831
1962-10-31,91.192,27.7953
1962-11-03,91.132,27.777
1962-11-07,91.092,27.7648
1962-11-10,91.112,27.7709
1962-11-14,91.072,27.7587
1962-11-17,91.032,27.7466
1962-11-21,90.992,27.7344
1962-11-24,90.932,27.7161
1962-11-28,90.852,27.6917
1962-12-01,90.812,27.6795
1962-12-05,90.752,27.6612
1962-12-08,90.692,27.6429
1962-12-12,90.652,27.6307
1962-12-15,90.632,27.6246
1962-12-19,90.612,27.6185
1962-12-22,90.572,27.6063
1962-12-26,90.492,27.582
1962-12-29,90.432,27.5637
1963-01-02,90.452,27.5698
1963-01-05,90.432,27.5637
1963-01-09,90.412,27.5576
1963-01-12,90.372,27.5454
1963-01-16,90.352,27.5393
1963-01-19,90.332,27.5332
1963-01-23,90.272,27.5149
1963-01-26,90.432,27.5637
1963-01-30,90.452,27.5698
1963-02-02,90.512,27.5881
1963-02-05,90.532,27.5942
