ID,LAT,LON,START,END,N_RECORDS,PCT_MISSING
US_010008,31.5702,-85.2483,1948060101,2014010100,574920,14.16
US_010063,34.2553,-87.1814,1948060101,2011120100,556632,16.48
US_010116,33.17833,-86.78167,2011070101,2011120100,3672,79.74
US_010140,32.2322,-87.4104,1963092613,2011120100,422340,4.1
US_010252,31.3071,-86.5226,1980030101,2011120100,278328,13.48
US_010272,33.5872,-85.8556,1948070101,2011120100,555912,81.47
US_010369,33.2941,-85.7788,1948060101,2011120100,556632,16.21
US_010390,34.7752,-86.9508,1982060101,2011120100,258600,23.5
US_010402,31.182,-87.439,1948060101,2011120100,556632,43.13
US_010407,31.01667,-87.51667,1965020101,1983010100,157032,20.59
US_010425,32.5992,-85.4653,2000120112,2011120100,96397,28.57
US_010427,32.6,-85.48333,1948060101,1963010100,127848,9.84
US_010430,32.6,-85.5,1979080101,1997010100,152712,4.85
US_010631,34.46667,-87.86667,1948070101,1956010100,65760,3.19
US_010748,33.6972,-87.6491,1948060101,2011120100,556632,23.92
US_010790,34.16667,-88.11667,1948060101,1968010100,171672,10.32
US_010829,33.46667,-86.83333,1978110101,1991010100,106656,8.22
US_010831,33.56556,-86.745,1948060101,2011120100,556632,20.67
US_010836,33.53333,-86.83333,1949090101,1950010100,2928,77.25
US_010957,34.2008,-86.1633,1948060101,2011120100,556632,20.4
US_011099,34.9786,-85.8008,1982110101,2011120100,254928,16.73
US_011315,31.91667,-87.98333,1948060101,1968010100,171672,18.93
US_011819,34.75,-87.85,1951111408,1981010100,255377,1.82
US_012124,32.8622,-85.7358,1948060101,2011120100,556632,13.74
US_012172,30.2505,-88.0775,1975080101,2011120100,318504,8.54
US_012372,31.3167,-85.45,1948060101,1953010100,40200,18.65
US_012377,31.1941,-85.3708,1952040101,2011120100,523032,16.94
US_012675,31.2975,-85.8996,1971040101,2011120100,356496,18.77
US_012742,32.78333,-87.83333,1948060101,1958010100,84024,2.83
US_012763,31.41667,-87.03333,1949120101,1952010100,18264,100.0
US_012945,34.76667,-85.68333,1948070101,1956010100,65760,2.5
US_013024,31.98333,-86.58333,1966112817,1971010100,35864,61.67
US_013035,30.225833,-88.025833,1948060101,1976010100,241800,14.07
US_013043,34.44056,-85.72361,1948060101,2011120100,556632,17.03
US_013200,34.01667,-86.75,1948060101,1974010100,224280,7.6
US_013519,31.7901,-86.6087,1971090101,2011120100,352824,12.62
US_013524,31.83333,-86.63333,1948060101,1967010100,162912,16.55
US_013578,34.36667,-86.28333,1948070101,1981010100,284928,23.04
US_013620,34.2314,-87.6352,1948060101,2011120100,556632,16.77
US_013645,34.0966,-87.9913,1967110321,2011120100,386356,21.39
US_013655,34.0678,-86.791,1973040101,2008010100,304632,19.71
US_014064,34.64389,-86.78611,1958110101,2011120100,465312,0.52
US_014068,34.7,-86.583333,1948070101,1952010100,30696,100.0
US_014192,31.55,-88.01667,1950030101,1962010100,103776,9.89
US_014193,31.5253,-87.9277,1961102317,2011120100,439208,22.29
US_014209,33.8256,-85.7812,1948060101,2011120100,556632,19.48
US_014603,32.96333,-86.52,1948060101,1970010100,189216,8.71
US_014830,31.55,-88.01667,1948060101,1951010100,22656,37.88
US_015004,32.13333,-87.65,1948060101,1964010100,136608,2.38
US_015108,32.63333,-87.3,1948060114,1968010100,171659,9.54
US_015112,32.70278,-87.26806,1967110401,2005010100,325752,13.31
US_015397,32.0597,-85.4952,1948060101,2011120100,556632,16.74
US_015449,32.1,-87.03333,1957012114,1974010100,148523,88.91
US_015454,32.11667,-87.05,1959020909,1967010100,69184,13.01
US_015474,30.68333,-88.03333,1966020101,1968010100,16776,50.42
US_015478,30.68833,-88.24556,1948070101,2011120100,555912,15.53
US_015483,30.68333,-88.03333,1948060101,1954010100,48960,13.91
US_015550,32.29972,-86.4075,1948070101,2011120100,555912,2.64
US_015553,32.26,-86.218,1998040101,2011120100,119808,19.16
US_015555,32.38333,-86.3,1948060101,1955010100,57720,39.88
US_015625,34.46667,-87.3,1948070101,1978010100,258624,2.44
US_015749,34.7441,-87.5997,1948070101,2011120100,555912,80.06
US_015842,31.4,-85.93333,1948060101,1971010100,197976,19.76
US_015862,34.9,-86.43333,1952112813,1956010100,27084,0.08
US_016226,34.7,-86.33333,1948070101,1981010100,284928,1.33
US_016370,31.58833,-87.26806,1948060101,2011120100,556632,18.82
US_016526,32.15,-86.91667,1948060101,1958010100,84024,23.93
US_016942,31.36667,-86.51667,1948060101,1981010100,285648,13.35
US_018178,31.91722,-87.73472,1967110201,2011120100,386400,6.77
US_018204,32.9,-86.73333,1948060101,1973010100,215520,6.23
US_018209,32.9205,-86.6708,1970030101,2011120100,366000,11.31
US_018259,34.9,-86.73333,1948070101,1981010100,284928,2.24
US_018285,33.81667,-86.73333,1948060101,1968010100,171672,9.81
US_018323,31.8075,-85.9722,1948060101,2011120100,556632,15.9
US_018380,33.2119,-87.6161,1948070101,1952010100,30696,100.0
US_018383,33.2119,-87.6161,2011070101,2011120100,3672,79.74
US_018385,33.2097,-87.5936,1958011316,2011120100,472305,33.61
US_018454,33.2,-87.55,1948060101,1957010100,75264,9.41
US_018517,33.7392,-88.1275,1948060101,2011120100,556632,17.88
US_018668,33.81667,-86.81667,1967040101,1973010100,50448,12.51
US_018670,33.7924,-86.8258,1972042514,2011120100,347123,26.02
US_018673,32.7744,-87.8306,1957120413,2011120100,473268,18.71
US_018936,34.88333,-85.75,1950042617,1956010100,49808,0.33
US_020080,32.3698,-112.8599,1948070101,2011120100,555912,11.87
US_020096,34.26667,-113.56667,1948070101,1966010100,153432,37.05
US_020100,34.228,-113.5777,1965031612,2011120100,409453,21.94
US_020487,35.1989,-112.4886,1948070101,2011120100,555912,11.38
US_020582,34.6,-113.2,1948070101,1950010100,13176,4.32
US_020586,34.5975,-113.1745,1949120101,1970010100,176064,43.79
US_020625,34.03333,-111.36667,1976121014,1981010100,35579,40.83
US_020678,35.23,-111.8214,2002110101,2003010100,1464,100.0
US_020768,31.43333,-109.91667,1948070101,1986010100,328752,20.8
US_020773,31.42694,-109.895,1961060217,1998010100,320672,84.03
US_020775,31.4475,-109.9288,1985030117,2011010100,226472,52.13
US_020808,33.4783,-109.7516,1948070101,2011120100,555912,18.94
US_020966,32.43333,-109.7,1948070101,1968010100,170952,9.34
US_021314,32.9947,-111.5367,1948070101,2009010100,530376,14.56
US_021574,34.54,-110.9152,1982020101,2011120100,261480,17.53
US_021749,34.0375,-110.4875,1980070101,2011120100,275400,36.13
US_021852,33.28333,-109.2,1978062812,1981010100,22021,15.76
US_021870,32.0588,-109.8908,1948070101,2011120100,555912,15.85
US_022329,34.2097,-112.3453,1980060101,2011010100,268104,22.24
US_022659,31.345,-109.5394,1948070101,1995010100,407640,8.29
US_022664,31.4583,-109.6061,1948070101,2011120100,555912,85.55
US_022754,32.748,-109.1213,1975082813,2010010100,301068,19.65
US_023007,35.2,-111.66667,1948070101,1952010100,30696,26.28
US_023009,35.1611,-111.7311,2008050101,2011120100,31416,25.07
US_023010,35.1441,-111.6663,1950011301,2011120100,542448,0.27
US_023011,35.2,-111.6,1958090814,1959010100,2747,100.0
US_023035,33.28333,-111.36667,1968040101,1983010100,129312,12.56
US_023398,32.95,-112.71667,1948070101,1952010100,30696,100.0
US_023581,36.05,-112.133333,1948070101,1958010100,83304,1.9
US_023586,36.05,-112.13333,1948070101,1950010100,13176,100.0
US_023595,36.05,-112.13333,1957080915,1977010100,170026,22.68
US_023596,36.0527,-112.1502,1976050918,2002010100,224815,34.07
US_023788,35.36667,-113.73333,1948070101,1960010100,100824,12.43
US_023790,35.35,-113.68333,1959012013,1971010100,104724,19.92
US_023981,31.86667,-110.78333,1948070101,1951010100,21936,31.08
US_024534,31.8352,-110.3552,2010060101,2011120100,13152,33.94
US_024586,35.8111,-110.1917,1948070101,2011120100,555912,18.02
US_024639,35.183333,-114.05,1948070101,1968010100,170952,1.08
US_024640,35.2577,-113.933,2011070101,2011120100,3672,79.74
US_024645,35.2,-114.01667,1967082215,1994010100,231082,9.86
US_025325,34.4,-112.25,1969031917,1987010100,155912,9.8
US_025344,34.3936,-112.2228,1986120113,2011120100,219132,15.59
US_025635,34.6105,-111.838,1979071915,2011120100,283738,12.15
US_025921,31.35,-110.91667,1948070101,1984010100,311208,4.6
US_025924,31.4554,-110.968,1983090218,2011120100,247591,26.89
US_026116,32.6,-110.78333,1948070101,1950010100,13176,14.38
US_026119,32.6025,-110.73444,1950022414,2010010100,524651,15.54
US_026180,36.9208,-111.4483,1957102818,1984010100,229447,7.79
US_026194,33.0772,-113.0316,1962010101,2011120100,437544,21.44
US_026260,33.78333,-110.96667,1972060101,1976010100,31416,2.8
US_026323,34.2326,-111.3446,1949050101,2010010100,531840,13.08
