time_min,day,lake_level_m,area_ha,volume_m3,evap_mm_day
0,0,28.74,144.47,2524181.0,0.0
1440,1,28.739,144.47,2522736.0,1.0
2880,2,28.7379,144.47,2521220.0,1.05
4320,3,28.7369,144.47,2519633.0,1.1
5760,4,28.7357,144.47,2517974.0,1.15
7200,5,28.7345,144.47,2516244.0,1.2
8640,6,28.7333,144.47,2514442.0,1.25
10080,7,28.732,144.47,2512570.0,1.3
11520,8,28.7306,144.47,2510626.0,1.35
12960,9,28.7292,144.47,2508610.0,1.4
14400,10,28.7278,144.47,2506524.0,1.44
15840,11,28.7263,144.47,2504365.0,1.49
17280,12,28.7247,144.47,2502136.0,1.54
18720,13,28.7231,144.47,2499835.0,1.59
20160,14,28.7215,144.47,2497463.0,1.64
21600,15,28.7198,144.47,2495020.0,1.69
23040,16,28.7181,144.47,2492505.0,1.74
24480,17,28.7163,144.47,2489919.0,1.79
25920,18,28.7144,144.47,2487261.0,1.84
27360,19,28.7126,144.47,2484533.0,1.89
28800,20,28.7106,144.47,2481732.0,1.94
30240,21,28.7086,144.47,2478861.0,1.99
31680,22,28.7066,144.47,2475918.0,2.04
33120,23,28.7045,144.47,2472904.0,2.09
34560,24,28.7024,144.47,2469818.0,2.14
36000,25,28.7002,144.47,2466662.0,2.19
37440,26,28.698,144.47,2463433.0,2.23
38880,27,28.6957,144.47,2460134.0,2.28
40320,28,28.6933,144.47,2456763.0,2.33
41760,29,28.6909,144.47,2453321.0,2.38
43200,30,28.6885,144.47,2449807.0,2.43
44640,31,28.686,144.47,2446222.0,2.48
46080,32,28.6835,144.47,2442566.0,2.53
47520,33,28.6809,144.47,2438838.0,2.58
48960,34,28.6783,144.47,2435039.0,2.63
50400,35,28.6756,144.47,2431169.0,2.68
51840,36,28.6729,144.47,2427228.0,2.73
53280,37,28.6701,144.47,2423215.0,2.78
54720,38,28.6673,144.47,2419130.0,2.83
56160,39,28.6644,144.47,2414975.0,2.88
57600,40,28.6615,144.47,2410748.0,2.93
59040,41,28.6585,144.47,2406449.0,2.98
60480,42,28.6555,144.47,2402080.0,3.02
61920,43,28.6524,144.47,2397639.0,3.07
63360,44,28.6493,144.47,2393126.0,3.12
64800,45,28.6461,144.47,2388543.0,3.17
66240,46,28.6429,144.47,2383888.0,3.22
67680,47,28.6396,144.47,2379161.0,3.27
69120,48,28.6363,144.47,2374364.0,3.32
70560,49,28.6329,144.47,2369495.0,3.37
72000,50,28.6295,144.47,2364554.0,3.42
73440,51,28.626,144.47,2359542.0,3.47
74880,52,28.6225,144.47,2354459.0,3.52
76320,53,28.619,144.47,2349305.0,3.57
77760,54,28.6153,144.47,2344079.0,3.62
79200,55,28.6117,144.47,2338782.0,3.67
80640,56,28.6079,144.47,2333414.0,3.72
82080,57,28.6042,144.47,2327974.0,3.77
83520,58,28.6004,144.47,2322463.0,3.81
84960,59,28.5965,144.47,2316880.0,3.86
86400,60,28.5926,144.47,2311226.0,3.91
87840,61,28.5886,144.47,2305501.0,3.96
89280,62,28.5846,144.47,2299705.0,4.01
90720,63,28.5806,144.47,2293837.0,4.06
92160,64,28.5764,144.47,2287898.0,4.11
93600,65,28.5723,144.47,2281887.0,4.16
95040,66,28.5681,144.47,2275805.0,4.21
96480,67,28.5638,144.47,2269652.0,4.26
97920,68,28.5595,144.47,2263428.0,4.31
99360,69,28.5551,144.47,2257132.0,4.36
100800,70,28.5507,144.47,2250765.0,4.41
102240,71,28.5463,144.47,2244326.0,4.46
103680,72,28.5418,144.47,2237816.0,4.51
105120,73,28.5372,144.47,2231235.0,4.56
106560,74,28.5326,144.47,2224582.0,4.6
108000,75,28.528,144.47,2217858.0,4.65
109440,76,28.5233,144.47,2211063.0,4.7
110880,77,28.5185,144.47,2204197.0,4.75
112320,78,28.5137,144.47,2197259.0,4.8
113760,79,28.5089,144.47,2190249.0,4.85
115200,80,28.5039,144.47,2183169.0,4.9
116640,81,28.499,144.47,2176017.0,4.95
118080,82,28.494,144.47,2168793.0,5.0
