time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0.0,0.0,0.0,76.0,0.0,0.0,0.0
30.0,1.77,0.0,43.76,0.0,0.0,0.0
60.0,1.77,0.0,31.9,0.0,0.0,0.0
90.0,1.77,0.0,27.54,0.0,0.0,0.0
120.0,1.77,0.0,25.93,0.0,0.0,0.0
150.0,1.94,0.0,25.34,0.0,0.0,0.0
180.0,2.65,0.0,25.13,0.0,0.0,0.0
210.0,2.65,0.0,25.05,0.0,0.0,0.0
240.0,2.65,0.0,25.02,0.0,0.0,0.0
270.0,2.65,0.0,25.01,0.0,0.0,0.0
300.0,3.35,0.0,25.0,0.0,0.0,0.0
330.0,4.41,0.0,25.0,0.0,0.0,0.0
360.0,4.41,0.0,25.0,0.0,0.0,0.0
390.0,4.41,0.0,25.0,0.0,0.0,0.0
420.0,4.41,0.0,25.0,0.0,0.0,0.0
450.0,5.74,0.0,25.0,0.0,0.0,0.0
480.0,6.62,0.0,25.0,0.0,0.0,0.0
510.0,6.62,0.0,25.0,0.0,0.0,0.0
540.0,6.62,0.0,25.0,0.0,0.0,0.0
570.0,6.62,0.0,25.0,0.0,0.0,0.0
600.0,11.21,0.0,25.0,0.0,0.0,0.0
630.0,12.36,0.0,25.0,0.0,0.0,0.0
660.0,12.36,0.0,25.0,0.0,0.0,0.0
690.0,12.36,0.0,25.0,0.0,0.0,0.0
720.0,12.36,0.0,25.0,0.0,0.0,0.0
750.0,6.62,0.0,25.0,0.0,0.0,0.0
780.0,6.62,0.0,25.0,0.0,0.0,0.0
810.0,6.62,0.0,25.0,0.0,0.0,0.0
840.0,6.62,0.0,25.0,0.0,0.0,0.0
870.0,6.09,0.0,25.0,0.0,0.0,0.0
900.0,3.97,0.0,25.0,0.0,0.0,0.0
930.0,3.97,0.0,25.0,0.0,0.0,0.0
960.0,3.97,0.0,25.0,0.0,0.0,0.0
990.0,3.97,0.0,25.0,0.0,0.0,0.0
1020.0,3.44,0.0,25.0,0.0,0.0,0.0
1050.0,2.65,0.0,25.0,0.0,0.0,0.0
1080.0,2.65,0.0,25.0,0.0,0.0,0.0
1110.0,2.65,0.0,25.0,0.0,0.0,0.0
1140.0,2.65,0.0,25.0,0.0,0.0,0.0
1170.0,2.12,0.0,25.0,0.0,0.0,0.0
1200.0,1.77,0.0,25.0,0.0,0.0,0.0
1230.0,1.77,0.0,25.0,0.0,0.0,0.0
1260.0,1.77,0.0,25.0,0.0,0.0,0.0
1290.0,1.77,0.0,25.0,0.0,0.0,0.0
1320.0,1.41,0.0,25.0,0.0,0.0,0.0
1350.0,1.32,0.0,25.0,0.0,0.0,0.0
1380.0,1.32,0.0,25.0,0.0,0.0,0.0
1410.0,1.32,0.0,25.0,0.0,0.0,0.0
1440.0,1.32,0.0,25.0,0.0,0.0,0.0
