time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0,0.0,0.0,76.0,0.0,0.0,0.0
5,28.85,0.0,68.17,0.0,0.0,0.0
10,40.4,0.0,61.54,0.0,0.0,0.0
15,60.59,4.66,55.93,0.0,0.0,0.0
20,86.56,35.38,51.18,0.831,0.078,0.003
25,126.96,79.79,47.16,9.536,0.101,0.01
30,201.98,158.22,43.76,36.179,0.122,0.024
35,108.2,67.32,40.88,51.944,0.143,0.029
40,73.58,35.14,38.44,61.022,0.151,0.032
45,51.94,15.56,36.38,65.986,0.155,0.034
50,37.51,2.88,34.63,69.523,0.154,0.034
55,27.41,0.0,33.15,72.704,0.151,0.034
60,21.64,0.0,31.9,74.584,0.149,0.034
