time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0.0,12.19,0.0,76.0,0.0,0.0,0.0
60.0,3.56,0.0,31.9,0.0,0.0,0.0
120.0,0.0,0.0,25.93,0.0,0.0,0.0
180.0,0.0,0.0,25.13,0.0,0.0,0.0
240.0,0.0,0.0,25.02,0.0,0.0,0.0
300.0,0.0,0.0,25.0,0.0,0.0,0.0
360.0,5.33,0.0,25.0,0.0,0.0,0.0
420.0,12.95,0.0,25.0,0.0,0.0,0.0
480.0,11.18,0.0,25.0,0.0,0.0,0.0
540.0,16.26,0.0,25.0,0.0,0.0,0.0
600.0,1.02,0.0,25.0,0.0,0.0,0.0
660.0,9.4,0.0,25.0,0.0,0.0,0.0
720.0,7.62,0.0,25.0,0.0,0.0,0.0
780.0,1.78,0.0,25.0,0.0,0.0,0.0
840.0,1.52,0.0,25.0,0.0,0.0,0.0
900.0,5.59,0.0,25.0,0.0,0.0,0.0
960.0,6.1,0.0,25.0,0.0,0.0,0.0
1020.0,15.49,0.0,25.0,0.0,0.0,0.0
1080.0,20.07,0.0,25.0,0.0,0.0,0.0
1140.0,23.62,0.0,25.0,0.0,0.0,0.0
1200.0,21.59,0.0,25.0,0.0,0.0,0.0
1260.0,65.02,40.02,25.0,88.502,0.147,0.041
1320.0,5.08,0.0,25.0,98.051,0.138,0.041
1380.0,0.25,0.0,25.0,79.97,0.148,0.041
