time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0,0.0,0.0,76.0,0.0,0.0,0.0
30,4.36,0.0,43.76,0.0,0.0,0.0
60,4.36,0.0,31.9,0.0,0.0,0.0
90,5.67,0.0,27.54,0.0,0.0,0.0
120,6.54,0.0,25.93,0.0,0.0,0.0
150,7.41,0.0,25.34,0.0,0.0,0.0
180,10.9,0.0,25.13,0.0,0.0,0.0
210,10.9,0.0,25.05,0.0,0.0,0.0
240,15.26,0.0,25.02,0.0,0.0,0.0
270,16.35,0.0,25.01,0.0,0.0,0.0
300,22.02,0.0,25.0,0.0,0.0,0.0
330,30.52,5.52,25.0,2.393,0.1,0.003
360,30.52,5.52,25.0,6.614,0.137,0.006
390,16.35,0.0,25.0,7.082,0.166,0.006
420,16.35,0.0,25.0,6.643,0.182,0.006
450,12.43,0.0,25.0,6.629,0.185,0.006
480,9.81,0.0,25.0,6.613,0.187,0.006
510,9.16,0.0,25.0,6.607,0.188,0.006
540,6.54,0.0,25.0,6.597,0.189,0.006
570,6.54,0.0,25.0,6.592,0.189,0.006
600,4.8,0.0,25.0,6.59,0.19,0.006
630,4.36,0.0,25.0,6.587,0.19,0.006
660,3.92,0.0,25.0,6.578,0.19,0.006
690,3.27,0.0,25.0,6.571,0.19,0.006
720,3.27,0.0,25.0,6.569,0.19,0.006
