duration_hr,return_period_yr,depth_in,depth_mm,intensity_mm_hr
1,2,1.8503937007874016,47,47.0
1,5,2.4803149606299213,63,63.0
1,10,2.952755905511811,75,75.0
1,25,3.6220472440944884,92,92.0
1,50,4.133858267716536,105,105.0
1,100,4.685039370078741,119,119.0
1,200,5.236220472440945,133,133.0
1,500,5.984251968503937,152,152.0
1,1000,6.5748031496063,167,167.0
3,2,2.440944881889764,62,20.666666666666668
3,5,3.3070866141732287,84,28.0
3,10,3.8976377952755907,99,33.0
3,25,4.7637795275590555,121,40.333333333333336
3,50,5.433070866141732,138,46.0
3,100,6.181102362204725,157,52.333333333333336
3,200,6.889763779527559,175,58.333333333333336
3,500,7.952755905511811,202,67.33333333333333
3,1000,8.779527559055119,223,74.33333333333333
6,2,3.0314960629921264,77,12.833333333333334
6,5,4.05511811023622,103,17.166666666666668
6,10,4.803149606299213,122,20.333333333333332
6,25,5.866141732283465,149,24.833333333333332
6,50,6.73228346456693,171,28.5
6,100,7.637795275590552,194,32.333333333333336
6,200,8.582677165354331,218,36.333333333333336
6,500,9.881889763779528,251,41.833333333333336
6,1000,10.94488188976378,278,46.333333333333336
12,2,3.7795275590551185,96,8.0
12,5,5.0,127,10.583333333333334
12,10,5.94488188976378,151,12.583333333333334
12,25,7.244094488188977,184,15.333333333333334
12,50,8.346456692913387,212,17.666666666666668
12,100,9.448818897637796,240,20.0
12,200,10.62992125984252,270,22.5
12,500,12.283464566929135,312,26.0
12,1000,13.622047244094489,346,28.833333333333332
24,2,4.606299212598426,117,4.875
24,5,6.10236220472441,155,6.458333333333333
24,10,7.204724409448819,183,7.625
24,25,8.779527559055119,223,9.291666666666666
24,50,10.118110236220472,257,10.708333333333334
24,100,11.496062992125985,292,12.166666666666666
24,200,12.952755905511811,329,13.708333333333334
24,500,15.0,381,15.875
24,1000,16.653543307086615,423,17.625
48,2,5.826771653543307,148,3.0833333333333335
48,5,7.637795275590552,194,4.041666666666667
48,10,9.015748031496063,229,4.770833333333333
48,25,10.905511811023622,277,5.770833333333333
48,50,12.559055118110237,319,6.645833333333333
48,100,14.25196850393701,362,7.541666666666667
48,200,16.062992125984252,408,8.5
48,500,18.661417322834648,474,9.875
48,1000,20.748031496062993,527,10.979166666666666
