date,cloud_pct_scl,cloud_pct_s2cloudless,cloud_pct_combined,cloud_pixels,total_pixels,cloud_mask_path
20151116,17.78,2.67,17.21,8522,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20151116.tif
20160713,28.73,4.43,27.8,13763,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20160713.tif
20160822,4.37,0.0,4.23,2094,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20160822.tif
20160911,3.14,0.01,3.04,1507,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20160911.tif
20161021,1.28,0.0,1.24,614,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20161021.tif
20161110,1.05,0.0,1.01,502,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20161110.tif
20161120,0.92,0.0,0.88,438,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20161120.tif
20170310,0.46,0.0,0.44,220,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20170310.tif
20170330,4.18,0.57,4.05,2006,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20170330.tif
20170509,0.33,0.0,0.32,156,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20170509.tif
20170529,8.42,0.01,8.14,4032,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20170529.tif
20170817,4.28,0.0,4.14,2050,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20170817.tif
20170926,0.65,0.0,0.63,310,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20170926.tif
20171031,0.9,0.0,0.87,430,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20171031.tif
20171120,90.81,0.0,87.77,43450,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20171120.tif
20171130,1.24,0.0,1.2,592,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20171130.tif
20171210,1.0,0.0,0.97,478,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20171210.tif
20171230,6.66,0.0,6.44,3186,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20171230.tif
20180104,1.03,0.0,1.0,494,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180104.tif
20180124,0.87,0.0,0.84,416,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180124.tif
20180218,0.99,0.0,0.96,476,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180218.tif
20180228,31.33,0.0,30.28,14991,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180228.tif
20180305,0.54,0.0,0.52,256,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180305.tif
20180315,0.85,0.0,0.82,408,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180315.tif
20180325,29.94,0.0,28.94,14326,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180325.tif
20180404,17.67,2.26,17.18,8506,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180404.tif
20180419,0.29,0.0,0.28,140,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180419.tif
20180424,0.35,0.0,0.34,168,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20180424.tif
