date,n_lake_polygons,total_lake_area_ha,water_pct_aoi,water_surface_elev_m,mndwi_mean,mndwi_max
20220329,27,103.92,21.18,,-0.2325,1.0
20220408,19,115.08,23.42,,-0.2222,1.0
20220727,50,61.35,12.84,,-0.2328,1.0
20220930,37,118.64,24.17,,-0.2067,1.0
20230314,29,105.4,21.49,,-0.2378,1.0
20230503,33,109.02,22.22,,-0.2343,1.0
20231015,32,96.72,19.84,,-0.2217,1.0
20240207,64,31.22,6.99,,-0.2408,1.0
20240412,29,106.68,21.76,,-0.2234,1.0
20240726,40,95.33,19.53,,-0.1841,1.0
20241024,38,105.13,21.51,,-0.2309,1.0
