date,year,season,cloud_pct,tile,item_id,ok
20220329,2022,dry_early,0.005989,17RMM,S2B_MSIL2A_20220329T155819_R097_T17RMM_20240603T114523,True
20220408,2022,dry_late,1.932107,17RMM,S2B_MSIL2A_20220408T155819_R097_T17RMM_20240524T035019,True
20220727,2022,wet_early,8.994788,17RMM,S2B_MSIL2A_20220727T155829_R097_T17RMM_20220729T003008,True
20220930,2022,wet_peak,0.001224,17RMM,S2A_MSIL2A_20220930T160051_R097_T17RMM_20240726T095241,True
20230314,2023,dry_early,0.791192,17RMM,S2B_MSIL2A_20230314T155939_R097_T17RMM_20240821T065714,True
20230503,2023,dry_late,0.019117,17RMM,S2B_MSIL2A_20230503T155829_R097_T17RMM_20240906T032343,True
20231015,2023,wet_peak,1.067807,17RMM,S2A_MSIL2A_20231015T160231_R097_T17RMM_20241106T073112,True
20240207,2024,dry_early,0.088477,17RMM,S2B_MSIL2A_20240207T160429_R097_T17RMM_20240207T220724,True
20240412,2024,dry_late,0.391001,17RMM,S2A_MSIL2A_20240412T155901_R097_T17RMM_20240413T001527,True
20240726,2024,wet_early,9.270752,17RMM,S2B_MSIL2A_20240726T155819_R097_T17RMM_20240726T201315,True
20241024,2024,wet_peak,0.791859,17RMM,S2B_MSIL2A_20241024T160239_R097_T17RMM_20241024T213906,True
