rank,date,cloud_pct_combined,cloud_on_lake_pct,tier,keep
1,20220202,0.0,0.0,1,True
2,20220212,0.0,0.0,1,True
3,20220304,0.0,0.0,1,True
4,20220329,0.0,0.0,1,True
5,20220408,0.0,0.0,1,True
6,20220727,0.0,0.0,1,True
7,20220930,0.0,0.0,1,True
8,20221005,0.0,0.0,1,True
9,20221129,0.0,0.0,1,True
10,20221204,0.0,0.0,1,True
11,20221209,0.0,0.0,1,True
12,20221219,0.0,0.0,1,True
13,20221229,0.0,0.0,1,True
14,20230217,0.0,0.0,1,True
15,20230222,0.0,0.0,1,True
16,20230309,0.0,0.0,1,True
17,20230314,0.0,0.0,1,True
18,20230503,0.0,0.0,1,True
19,20230508,0.0,0.0,1,True
20,20230528,0.0,0.0,1,True
21,20230826,0.0,0.0,1,True
22,20231015,0.0,0.0,1,True
23,20231119,0.0,0.0,1,True
24,20231129,0.0,0.0,1,True
25,20231209,0.0,0.0,1,True
26,20231219,0.0,0.0,1,True
27,20240202,0.0,0.0,1,True
28,20240207,0.0,0.0,1,True
29,20240222,0.0,0.0,1,True
30,20240407,0.0,0.0,1,True
31,20240412,0.0,0.0,1,True
32,20240527,0.0,0.0,1,True
33,20241014,0.0,0.0,1,True
34,20241024,0.0,0.0,1,True
35,20241123,0.0,0.0,1,True
36,20241203,0.0,0.0,1,True
37,20250112,0.0,0.0,1,True
38,20250221,0.0,0.0,1,True
39,20250226,0.0,0.0,1,True
40,20250313,0.0,0.0,1,True
41,20250412,0.0,0.0,1,True
42,20250417,0.0,0.0,1,True
43,20250517,0.0,0.0,1,True
44,20250726,0.0,0.0,1,True
45,20250728,0.0,0.0,1,True
46,20250919,0.0,0.0,1,True
47,20251014,0.0,0.0,1,True
48,20251103,0.0,0.0,1,True
49,20251105,0.0,0.0,1,True
50,20251113,0.0,0.0,1,True
51,20251118,0.0,0.0,1,True
52,20251128,0.0,0.0,1,True
53,20251228,0.0,0.0,1,True
54,20260206,0.0,0.0,1,True
55,20260221,0.0,0.0,1,True
56,20260328,0.0,0.0,1,True
57,20260417,0.0,0.0,1,True
58,20260424,0.0,0.0,1,True
59,20260507,0.0,0.0,1,True
60,20250303,0.01,0.0,1,True
61,20220403,0.02,0.0,1,True
62,20220607,0.02,0.0,1,True
63,20250206,0.02,0.0,1,True
64,20250924,0.06,0.0,1,True
65,20251019,0.08,0.0,1,True
66,20190424,0.11,0.0,1,True
67,20200408,0.11,0.0,1,True
68,20230418,3.09,0.0,1,True
69,20210408,0.28,0.2603,1,True
70,20210508,0.41,0.2892,1,True
71,20180429,0.12,0.3181,1,True
72,20240212,4.17,0.3253,1,True
73,20190524,0.14,0.3759,1,True
74,20210523,0.56,0.3759,1,True
75,20190529,0.28,0.4627,1,True
76,20180419,0.28,0.4772,1,True
77,20180424,0.34,0.7013,1,True
78,20200801,1.38,0.723,1,True
79,20210821,0.58,0.7374,1,True
80,20170509,0.32,0.7808,1,True
81,20200503,0.5,0.8097,1,True
82,20200314,0.28,0.8531,1,True
83,20210413,0.52,0.9977,1,True
84,20210428,0.55,1.0555,1,True
85,20210202,0.57,1.0844,1,True
86,20180305,0.52,1.1857,1,True
87,20190429,0.59,1.1929,1,True
88,20210503,0.35,1.2001,1,True
89,20170310,0.44,1.3447,1,True
90,20180509,0.49,1.4315,1,True
91,20200508,0.42,1.4604,1,True
92,20180608,1.41,1.5038,1,True
93,20200228,0.7,1.67,1,True
94,20220118,1.06,1.6917,1,True
95,20210304,0.78,1.7423,1,True
96,20210319,0.86,1.7423,1,True
97,20210324,0.7,1.764,1,True
98,20200905,0.78,1.8219,1,True
99,20170926,0.63,1.8363,1,True
100,20181021,0.71,1.8508,1,True
101,20210309,0.77,1.8725,1,True
102,20220113,0.64,1.9231,1,True
103,20200203,0.89,1.9954,1,True
104,20200403,0.71,2.1183,1,True
105,20200208,0.85,2.1255,1,True
106,20200329,0.62,2.205,1,True
107,20180124,0.84,2.2195,1,True
108,20171031,0.87,2.2484,1,True
109,20211030,1.04,2.2918,1,True
110,20181205,0.69,2.3135,1,True
111,20180315,0.82,2.3135,1,True
112,20191120,0.93,2.3496,1,True
113,20181031,0.87,2.3569,1,True
114,20190129,0.97,2.3569,1,True
115,20161120,0.88,2.3785,1,True
116,20190208,0.93,2.4436,1,True
117,20190827,1.35,2.5014,1,True
118,20211129,1.24,2.5159,1,True
119,20191011,0.96,2.5448,1,True
120,20211229,1.07,2.5882,1,True
121,20211204,0.78,2.6099,1,True
122,20171210,0.97,2.6099,1,True
123,20210128,1.05,2.6099,1,True
124,20220108,1.06,2.6894,1,True
125,20220722,1.9,2.7039,1,True
126,20180104,1.0,2.7111,1,True
127,20191215,1.14,2.7689,1,True
128,20201030,1.12,2.7906,1,True
129,20180218,0.96,2.8123,1,True
130,20250601,1.13,2.8557,1,True
131,20201209,1.09,2.8629,1,True
132,20191130,1.07,2.9063,1,True
133,20161110,1.01,3.0726,1,True
134,20210118,0.89,3.0798,1,True
135,20191110,1.13,3.1521,1,True
136,20161021,1.24,3.1738,1,True
137,20180817,0.97,3.275,1,True
138,20201124,0.97,3.3112,1,True
139,20171130,1.2,3.3835,1,True
140,20201229,1.28,3.4991,1,True
141,20211124,1.31,3.5787,1,True
142,20180916,3.21,3.651,1,True
143,20160911,3.04,3.904,1,True
144,20170817,4.14,4.2872,1,True
145,20200109,1.86,5.0535,1,True
146,20220222,1.96,5.9717,1,True
147,20211020,4.45,6.7814,1,True
148,20191225,2.44,7.3019,1,True
149,20170330,4.05,7.4754,1,True
150,20251223,2.19,7.808,1,True
151,20210722,3.61,9.1382,1,True
152,20160822,4.23,13.2591,1,True
153,20250318,14.36,0.0,3,False
154,20210528,33.97,0.4049,3,False
155,20200622,5.67,2.299,3,False
156,20230910,8.86,3.4991,3,False
157,20190519,16.67,4.7499,3,False
158,20251024,5.06,4.974,3,False
159,20221025,14.64,5.5668,3,False
160,20230324,7.48,5.7114,3,False
161,20260127,42.32,5.7548,3,False
162,20180524,27.91,6.4777,3,False
163,20240502,44.7,7.0995,3,False
164,20200925,24.96,7.2947,3,False
165,20171230,6.44,7.9092,3,False
166,20250701,13.2,8.5237,3,False
167,20231020,11.13,8.9069,3,False
168,20200712,30.72,9.037,3,False
169,20181016,15.2,9.0515,3,False
170,20191210,25.97,10.9456,3,False
171,20210222,5.64,12.2108,3,False
172,20160713,27.8,13.9893,3,False
173,20230915,24.27,16.1003,3,False
174,20220103,16.46,16.4691,3,False
175,20170529,8.14,21.0237,3,False
176,20190325,10.27,21.2478,3,False
177,20260412,15.24,21.7033,3,False
178,20210806,11.42,23.1203,3,False
179,20210227,36.67,23.8577,3,False
180,20251125,25.06,25.0145,3,False
181,20240227,9.68,25.3181,3,False
182,20220508,51.0,29.9523,3,False
183,20151116,17.21,31.2536,3,False
184,20250308,14.01,32.4754,3,False
185,20240726,23.25,33.061,3,False
186,20200727,20.93,33.6611,3,False
187,20180404,17.18,35.295,3,False
188,20230627,23.91,37.4783,3,False
189,20180926,21.8,39.0544,3,False
190,20200223,29.55,41.2522,3,False
191,20201015,31.57,42.286,3,False
192,20230108,62.24,44.8381,3,False
193,20211224,44.33,49.212,3,False
194,20220801,62.61,54.3378,3,False
195,20200324,34.12,55.3861,3,False
196,20180325,28.94,57.526,3,False
197,20230722,32.28,60.2516,3,False
198,20201219,31.73,60.8589,3,False
199,20210314,48.24,65.5509,3,False
200,20190623,26.21,80.6246,3,False
201,20180228,30.28,81.1452,3,False
202,20200627,64.68,90.9558,3,False
203,20230207,92.36,92.7632,3,False
204,20251108,74.6,96.913,3,False
205,20171120,87.77,97.6287,3,False
