method,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,date
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7172,4273,1704,36357,0.6266,0.808,0.7059,0.5454,0.8793,20220329
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7073,3438,1803,37192,0.6729,0.7969,0.7297,0.5744,0.8941,20220408
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7135,3514,1741,37116,0.67,0.8039,0.7309,0.5759,0.8939,20220727
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7801,4915,1075,35715,0.6135,0.8789,0.7226,0.5657,0.879,20220930
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7232,3718,1644,36912,0.6605,0.8148,0.7295,0.5742,0.8917,20230314
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",6804,2796,2072,37834,0.7087,0.7666,0.7365,0.5829,0.9017,20230503
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7346,3476,1530,37154,0.6788,0.8276,0.7459,0.5947,0.8989,20231015
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7352,3426,1524,37204,0.6821,0.8283,0.7481,0.5976,0.9,20240207
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7069,3138,1807,37492,0.6926,0.7964,0.7409,0.5884,0.9001,20240412
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",4829,2046,4047,38584,0.7024,0.5441,0.6132,0.4421,0.8769,20240726
"Prithvi-EO-2.0 (IBM/NASA, SEN1Floods11)",7686,3815,1190,36815,0.6683,0.8659,0.7544,0.6056,0.8989,20241024
