date,n_water_polygons,water_area_ha,water_pct_aoi
20160822,23,110.2,22.2599
20160911,14,116.57,23.5466
20161021,5,124.88,25.2252
20161110,6,122.1,24.6637
20161120,7,120.45,24.3304
20170310,4,122.8,24.8051
20170330,16,115.76,23.383
20170509,4,119.98,24.2354
20170817,18,116.98,23.6295
20170926,6,132.61,26.7867
20171031,6,127.07,25.6676
20171130,7,123.82,25.0111
20171210,6,123.65,24.9768
20180104,6,125.09,25.2676
20180124,6,124.05,25.0576
20180218,6,124.34,25.1161
20180305,6,123.84,25.0151
20180315,5,122.82,24.8091
20180419,5,125.76,25.403
20180424,4,123.39,24.9243
20180429,5,122.08,24.6596
20180509,5,123.47,24.9404
20180608,3,125.96,25.4434
20180817,5,127.1,25.6737
20180916,10,126.78,25.609
20181021,5,123.13,24.8717
20181031,4,121.88,24.6192
20181205,5,124.2,25.0879
20190129,3,127.6,25.7747
20190208,6,127.22,25.6979
20190424,6,125.35,25.3202
20190429,6,121.98,24.6394
20190524,6,124.99,25.2474
20190529,7,122.97,24.8394
20190827,5,124.04,25.0555
20191011,7,121.45,24.5324
20191110,8,124.47,25.1424
20191120,4,126.68,25.5888
20191130,6,125.4,25.3303
20191215,5,125.76,25.403
20191225,29,110.16,22.2518
20200109,6,126.71,25.5949
20200203,6,126.6,25.5727
20200208,5,128.34,25.9241
20200228,8,126.63,25.5787
20200314,7,125.26,25.302
20200329,7,125.13,25.2757
20200403,4,124.34,25.1161
20200408,3,123.57,24.9606
20200503,6,121.9,24.6233
20200508,5,123.61,24.9687
20200801,4,122.48,24.7404
20200905,7,123.06,24.8576
20201030,5,125.42,25.3343
20201124,7,125.47,25.3444
20201209,8,125.08,25.2656
20201229,4,125.83,25.4171
20210118,7,122.32,24.7081
20210128,7,126.31,25.5141
20210202,7,127.06,25.6656
20210304,5,126.56,25.5646
20210309,5,126.29,25.51
20210319,7,124.84,25.2171
20210324,5,124.92,25.2333
20210408,4,124.55,25.1586
20210413,6,124.44,25.1363
20210428,6,122.38,24.7202
20210503,4,124.08,25.0636
20210508,6,122.8,24.8051
20210523,4,123.1,24.8657
20210722,12,119.38,24.1142
20210821,4,123.3,24.9061
20211020,24,114.55,23.1386
20211030,5,120.34,24.3082
20211124,7,122.4,24.7243
20211129,4,123.33,24.9121
20211204,5,122.86,24.8172
20211229,5,122.98,24.8414
20220108,7,122.77,24.799
20220113,5,122.99,24.8435
20220118,5,123.43,24.9323
20220202,4,120.09,24.2577
20220212,4,124.26,25.1
20220222,5,118.72,23.9809
20220304,4,123.51,24.9485
20220329,5,120.93,24.4273
20220403,6,122.65,24.7748
20220408,13,108.01,21.8176
20220607,5,124.17,25.0818
20220722,6,121.35,24.5122
20220727,6,122.68,24.7808
20220930,3,131.22,26.5059
20221005,2,129.95,26.2493
20221129,5,124.57,25.1626
20221204,4,127.32,25.7181
20221209,3,122.97,24.8394
20221219,7,127.0,25.6535
20221229,5,126.79,25.611
20230217,4,122.08,24.6596
20230222,4,120.79,24.3991
20230309,4,120.6,24.3607
20230314,4,119.83,24.2051
20230418,4,120.21,24.2819
20230503,5,123.27,24.9
20230508,4,119.51,24.1405
20230528,15,77.05,15.5638
20230826,4,120.57,24.3546
20231015,4,118.63,23.9628
20231119,4,119.21,24.0799
20231129,5,118.08,23.8517
20231209,3,118.93,24.0234
20231219,3,122.11,24.6657
20240202,4,126.26,25.504
20240207,3,123.25,24.896
20240212,5,140.3,28.34
20240222,7,126.15,25.4818
20240407,5,123.48,24.9424
20240412,7,123.58,24.9626
20240527,4,120.33,24.3061
20240726,6,95.48,19.2866
20241014,3,129.34,26.1261
20241024,4,127.39,25.7322
20241123,4,124.64,25.1767
20241203,8,126.92,25.6373
20250112,5,123.35,24.9162
20250206,2,122.39,24.7223
20250221,6,123.41,24.9283
20250226,5,125.87,25.4252
20250303,5,121.95,24.6334
20250313,4,122.34,24.7122
20250412,3,119.53,24.1445
20250417,4,120.03,24.2455
20250517,8,112.34,22.6922
20250601,6,111.57,22.5367
20250726,4,120.81,24.4031
20250728,4,120.22,24.2839
20250919,3,120.17,24.2738
20250924,4,119.71,24.1809
20251014,7,121.58,24.5586
20251019,2,117.85,23.8052
20251103,3,121.84,24.6112
20251105,3,121.25,24.492
20251113,4,122.71,24.7869
20251118,7,124.57,25.1626
20251128,4,121.56,24.5546
20251223,4,103.42,20.8904
20251228,3,88.79,17.9352
20260206,5,128.26,25.908
20260221,4,122.4,24.7243
20260328,4,119.23,24.0839
20260417,3,122.57,24.7586
20260424,3,119.72,24.1829
20260507,3,117.9,23.8153
