date,scene_pixels,mndwi_area_ha,watnet_area_ha,dem_ref_area_ha,mndwi_f1,mndwi_iou,mndwi_precision,mndwi_recall,watnet_f1,watnet_iou,watnet_precision,watnet_recall
20220607,49506,108.74,108.07,138.88,0.8161,0.6893,0.9292,0.7275,0.835,0.7167,0.954,0.7424
20220722,49506,94.28,108.61,138.88,0.7423,0.5902,0.9179,0.6231,0.8221,0.6979,0.9367,0.7325
20221005,49506,111.16,156.64,138.88,0.822,0.6978,0.9245,0.74,0.7985,0.6646,0.7533,0.8496
20221129,49506,99.84,229.96,138.88,0.7696,0.6255,0.9201,0.6614,0.6594,0.4919,0.5288,0.8756
20221204,49506,101.79,197.28,138.88,0.7787,0.6377,0.9206,0.6748,0.7082,0.5482,0.6034,0.8571
20221209,49506,100.87,228.75,138.88,0.774,0.6313,0.9198,0.6681,0.6589,0.4913,0.5294,0.872
20221219,49506,73.35,225.32,138.88,0.6294,0.4592,0.9106,0.4809,0.6644,0.4975,0.537,0.8712
20221229,49506,21.02,226.89,138.88,0.2081,0.1162,0.7916,0.1198,0.667,0.5004,0.5377,0.8784
20230217,49506,84.54,209.62,138.88,0.6958,0.5335,0.9194,0.5597,0.6914,0.5284,0.5748,0.8675
20230222,49506,97.3,198.54,138.88,0.7598,0.6127,0.9222,0.6461,0.7037,0.5428,0.598,0.8548
20230309,49506,108.32,178.37,138.88,0.816,0.6892,0.9311,0.7262,0.7286,0.573,0.6479,0.8322
20230418,49506,99.34,135.84,138.88,0.771,0.6273,0.9244,0.6612,0.7879,0.6501,0.7967,0.7793
20230508,49506,106.38,126.71,138.88,0.8071,0.6765,0.9303,0.7126,0.803,0.6708,0.8415,0.7678
20230528,49506,100.54,118.46,138.88,0.7769,0.6352,0.925,0.6696,0.8194,0.694,0.89,0.7591
20230826,49506,116.43,127.54,138.88,0.8528,0.7434,0.9351,0.7839,0.7673,0.6224,0.8014,0.736
20231119,49506,85.64,228.0,138.88,0.699,0.5373,0.9163,0.565,0.6569,0.4891,0.5285,0.8677
20231129,49506,93.16,229.22,138.88,0.7369,0.5835,0.9178,0.6156,0.6451,0.4761,0.518,0.8549
20231209,49506,81.72,210.08,138.88,0.6874,0.5237,0.9278,0.5459,0.6792,0.5143,0.5641,0.8533
20231219,49506,92.14,228.28,138.88,0.7297,0.5745,0.9148,0.6069,0.6589,0.4914,0.5299,0.871
20240202,49506,81.46,221.41,138.88,0.6848,0.5206,0.9261,0.5432,0.6762,0.5108,0.5502,0.8772
20240212,49506,80.88,203.69,138.88,0.6929,0.5301,0.9414,0.5482,0.7038,0.543,0.5918,0.868
20240222,49506,58.69,220.53,138.88,0.5574,0.3864,0.9381,0.3965,0.6762,0.5108,0.551,0.875
20240407,49506,94.74,131.52,138.88,0.7457,0.5946,0.9195,0.6272,0.803,0.6708,0.8254,0.7817
20240527,49506,101.38,108.44,138.88,0.7877,0.6498,0.9334,0.6814,0.8008,0.6678,0.9132,0.7131
20241014,49506,125.93,156.32,138.88,0.8896,0.8012,0.9354,0.8481,0.7911,0.6544,0.747,0.8408
20241123,49506,46.73,213.15,138.88,0.4439,0.2853,0.8817,0.2967,0.6925,0.5296,0.5719,0.8777
20241203,49506,79.51,205.01,138.88,0.6609,0.4936,0.9077,0.5197,0.7049,0.5443,0.5912,0.8728
20250112,49506,23.03,195.59,138.88,0.238,0.1351,0.8367,0.1388,0.7219,0.5648,0.6172,0.8692
