date,MNDWI_area_ha,MNDWI_f1,MNDWI_iou,MNDWI_precision,MNDWI_recall,WatNet_area_ha,WatNet_f1,WatNet_iou,WatNet_precision,WatNet_recall,Prithvi_area_ha,Prithvi_f1,Prithvi_iou,Prithvi_precision,Prithvi_recall
20220329,104.83,0.9522,0.9088,0.9224,0.984,119.1,0.8768,0.7806,0.7917,0.9825,114.45,0.7983,0.6643,0.7261,0.8864
20220408,115.96,0.9084,0.8321,0.8375,0.9923,117.92,0.8818,0.7886,0.799,0.9838,105.11,0.813,0.685,0.7689,0.8625
20220727,63.55,0.7261,0.57,0.9239,0.598,116.69,0.8801,0.7858,0.8018,0.9753,106.49,0.8316,0.7118,0.7825,0.8873
20220930,119.66,0.8953,0.8105,0.8141,0.9946,133.7,0.8304,0.7099,0.7147,0.9908,127.16,0.813,0.6849,0.7082,0.9542
20230314,106.4,0.9482,0.9015,0.9118,0.9877,141.28,0.798,0.6639,0.6706,0.9851,109.5,0.8234,0.6998,0.7643,0.8923
20230503,110.01,0.9172,0.8471,0.8677,0.9727,116.21,0.889,0.8002,0.8124,0.9816,96.0,0.825,0.7022,0.8153,0.835
20231015,98.24,0.9461,0.8977,0.9463,0.9459,137.95,0.8078,0.6776,0.6856,0.9831,108.22,0.8579,0.7512,0.8017,0.9226
20240207,34.61,0.4724,0.3092,0.8946,0.3209,182.52,0.6813,0.5167,0.5196,0.9892,107.78,0.8244,0.7013,0.7713,0.8855
20240412,107.72,0.9346,0.8773,0.8935,0.9797,120.71,0.8716,0.7724,0.7828,0.983,102.07,0.8386,0.7221,0.8044,0.876
20240726,96.68,0.8589,0.7526,0.8567,0.861,83.85,0.7008,0.5394,0.7434,0.6627,68.75,0.6769,0.5116,0.8023,0.5854
20241024,106.47,0.9374,0.8821,0.9008,0.977,140.13,0.8071,0.6766,0.681,0.9907,115.01,0.842,0.7271,0.7665,0.934
