date,MNDWI_area_ha,MNDWI_f1,MNDWI_iou,MNDWI_precision,MNDWI_recall,WatNet_area_ha,WatNet_f1,WatNet_iou,WatNet_precision,WatNet_recall,Prithvi_area_ha,Prithvi_f1,Prithvi_iou,Prithvi_precision,Prithvi_recall
20220329,104.83,0.7991,0.6655,0.9715,0.6788,119.1,0.8609,0.7558,0.96,0.7804,114.45,0.8014,0.6686,0.9018,0.7211
20220408,115.96,0.8493,0.738,0.9718,0.7542,117.92,0.881,0.7873,0.9867,0.7957,105.11,0.8118,0.6832,0.9584,0.7041
20220727,63.55,0.5638,0.3925,0.9468,0.4014,116.69,0.8427,0.7282,0.9502,0.7571,106.49,0.7952,0.6601,0.933,0.6929
20220930,119.66,0.8537,0.7447,0.9603,0.7684,133.7,0.8954,0.8106,0.9408,0.8542,127.16,0.8702,0.7702,0.9281,0.819
20230314,106.4,0.806,0.6751,0.9711,0.6889,141.28,0.8143,0.6868,0.8303,0.7989,109.5,0.8359,0.7181,0.9645,0.7375
20230503,110.01,0.8236,0.7001,0.9726,0.7141,116.21,0.8734,0.7752,0.9885,0.7823,96.0,0.7849,0.646,0.9775,0.6557
20231015,98.24,0.7635,0.6174,0.9648,0.6316,137.95,0.8152,0.6881,0.8416,0.7904,108.22,0.8443,0.7305,0.9822,0.7403
20240207,34.61,0.3471,0.21,0.9123,0.2143,182.52,0.7459,0.5948,0.6721,0.8379,107.78,0.8481,0.7363,0.988,0.7429
20240412,107.72,0.8108,0.6818,0.9699,0.6966,120.71,0.8595,0.7535,0.9522,0.7831,102.07,0.8217,0.6973,0.9868,0.7039
20240726,96.68,0.7271,0.5712,0.9158,0.6029,83.85,0.6906,0.5274,0.9366,0.5469,68.75,0.6162,0.4453,0.9529,0.4553
20241024,106.47,0.8059,0.6749,0.9702,0.6892,140.13,0.8653,0.7626,0.8867,0.8449,115.01,0.8749,0.7776,0.9855,0.7866
