time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0,0.0,0.0,35.0,0.0,0.0,0.0
5,30.0,0.0,30.3,0.0,0.0,0.0
10,42.0,15.52,26.48,0.045,0.07,0.001
15,63.0,39.62,23.38,2.257,0.085,0.005
20,90.0,69.14,20.86,10.742,0.108,0.011
25,132.0,113.18,18.82,27.318,0.128,0.021
30,210.0,192.84,17.16,73.102,0.13,0.037
35,112.5,96.68,15.82,102.272,0.14,0.046
40,76.5,61.78,14.72,140.31,0.132,0.051
45,54.0,40.17,13.83,148.003,0.137,0.055
50,39.0,25.89,13.11,147.289,0.144,0.057
55,28.5,15.97,12.53,144.851,0.149,0.058
60,22.5,10.45,12.05,142.263,0.153,0.059
