time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0.0,0.0,0.0,76.0,0.0,0.0,0.0
60.0,0.0,0.0,31.9,0.0,0.0,0.0
120.0,0.0,0.0,25.93,0.0,0.0,0.0
180.0,0.0,0.0,25.13,0.0,0.0,0.0
240.0,0.0,0.0,25.02,0.0,0.0,0.0
300.0,0.0,0.0,25.0,0.0,0.0,0.0
360.0,0.0,0.0,25.0,0.0,0.0,0.0
420.0,0.0,0.0,25.0,0.0,0.0,0.0
480.0,0.0,0.0,25.0,0.0,0.0,0.0
540.0,0.0,0.0,25.0,0.0,0.0,0.0
600.0,0.0,0.0,25.0,0.0,0.0,0.0
660.0,0.0,0.0,25.0,0.0,0.0,0.0
720.0,143.51,118.51,25.0,190.297,0.238,0.121
780.0,58.42,33.42,25.0,177.308,0.265,0.154
840.0,5.33,0.0,25.0,159.941,0.251,0.154
900.0,0.76,0.0,25.0,127.52,0.279,0.154
960.0,0.0,0.0,25.0,109.092,0.305,0.154
1020.0,0.0,0.0,25.0,85.615,0.366,0.154
1080.0,0.0,0.0,25.0,29.56,0.959,0.154
1140.0,0.0,0.0,25.0,29.462,0.962,0.154
1200.0,0.0,0.0,25.0,29.393,0.964,0.154
1260.0,0.0,0.0,25.0,29.345,0.965,0.154
1320.0,0.0,0.0,25.0,29.318,0.966,0.154
1380.0,0.0,0.0,25.0,29.28,0.967,0.154
1440.0,0.0,0.0,25.0,29.259,0.967,0.154
