time_min,rain_mm_hr,Pe_mm_hr,infilt_mm_hr,flooded_ha,mean_depth_m,lake_rise_m
0,0.0,0.0,76.0,0.0,0.0,0.0
30,8.0,0.0,43.76,0.0,0.0,0.0
60,8.0,0.0,31.9,0.0,0.0,0.0
90,10.4,0.0,27.54,0.0,0.0,0.0
120,12.0,0.0,25.93,0.0,0.0,0.0
150,13.6,0.0,25.34,0.0,0.0,0.0
180,20.0,0.0,25.13,0.0,0.0,0.0
210,20.0,0.0,25.05,0.0,0.0,0.0
240,28.0,2.98,25.02,0.854,0.089,0.002
270,30.0,4.99,25.01,4.366,0.122,0.004
300,40.4,15.4,25.0,12.134,0.177,0.012
330,56.0,31.0,25.0,49.083,0.15,0.028
360,56.0,31.0,25.0,99.81,0.145,0.044
390,30.0,5.0,25.0,107.217,0.147,0.046
420,30.0,5.0,25.0,110.793,0.145,0.049
450,22.8,0.0,25.0,105.338,0.147,0.049
480,18.0,0.0,25.0,96.711,0.15,0.049
510,16.8,0.0,25.0,85.862,0.158,0.049
540,12.0,0.0,25.0,74.184,0.172,0.049
570,12.0,0.0,25.0,37.902,0.283,0.049
600,8.8,0.0,25.0,18.548,0.527,0.049
630,8.0,0.0,25.0,18.491,0.528,0.049
660,7.2,0.0,25.0,18.444,0.529,0.049
690,6.0,0.0,25.0,18.415,0.53,0.049
720,6.0,0.0,25.0,18.381,0.531,0.049
